Feeder,Installed (kW),Code
Arch Hall,5594,ST2B13
Bank Hall,271,
Banks,3715,
Barbarees Hill,636,WP2B2
Bath Village,1278,WO2B6
Baxters Road,981,WP2B5
Bay Street,904,GA2B2
Belleplaine,360,
Belmont Road,857,BE2B3
Bulkeley,4758,
Carlton,714,CA2B5
Carrington,3636,HA2B6
Chancery Lane,1372,
Chapel Street,100,TY2B4
D.W.H,834,TY2B9
Deacons Road,3001,
Dukes,2409,ST2B15
Eagle Hall,684,
Fontabelle 1,3099,TY2B7
Fontabelle 2,50,TY2B10
Fordes Road,442,
Grazettes,3565,
Green Hill,7816,WA2B6
Hanson (Belmont),546,BE2B1
Hanson (Central),2351,CE2B3
Holders Hill,1436,WA2B1
Holetown (SG),1124,
Holetown (St Thomas),920,ST2B11
Jackson,627,WA2B5
Marhill St.,208,GA2B6
Marhill St.,208,TY2B8
Marhill St.,208, WP2B6
Mile & A Quarter,1080,CA2B2
Mile & A Quarter,1080,ST2B16
Newton,3859,WO2B3
NIS,163,MA2B2
North Point,3017,
Oistins,1006,WO2B5
Ometa Mall,455,MA2B4
Providence,1634,
Rendezvous Rd,838,
Roebuck St (MA),50,
Roebuck St (WP),310,WP2B4
Royal Bank,193,
Salters,3381,CE2B1
Sam Lords,4179,HA2B5
Sandy Lane,113,ST2B18
Savannah,759,GA2B1
Seawell,3739,HA2B1
Six Mens,451,
St Martins,1967,
Sunbury,4648,HA2B2
Swan Street,14,TY2B6
Welches,1211,WA2B2
White Hall,3615,CA2B1
Whitepark Road,1907,WP2B1
Wildey,4317,
Woodland,2260,
Distribution Total,99452,
