Time,NetLoadDemand
2024-01-01 00:00:00,5707.9
2024-01-01 00:05:00,5732.48
2024-01-01 00:10:00,5535.86
2024-01-01 00:20:00,5499.33
2024-01-01 00:35:00,5522.55
2024-01-01 00:45:00,5534.49
2024-01-01 00:50:00,5736.92
2024-01-01 01:00:00,5550.88
2024-01-01 01:05:00,5470.32
2024-01-01 01:15:00,5738.29
2024-01-01 01:20:00,5748.87
2024-01-01 01:25:00,5521.18
2024-01-01 01:30:00,5515.38
2024-01-01 01:35:00,5670.7
2024-01-01 01:50:00,5588.09
2024-01-01 01:55:00,5319.44
2024-01-01 02:00:00,5321.14
2024-01-01 02:05:00,5474.75
2024-01-01 02:15:00,5487.39
2024-01-01 02:20:00,5242.97
2024-01-01 02:30:00,5319.44
2024-01-01 02:35:00,5287.35
2024-01-01 02:50:00,5497.97
2024-01-01 02:55:00,5323.53
2024-01-01 03:05:00,5326.26
2024-01-01 03:20:00,5277.79
2024-01-01 03:30:00,5147.73
2024-01-01 03:35:00,5311.24
2024-01-01 03:45:00,5138.17
2024-01-01 03:50:00,5199.96
2024-01-01 04:00:00,5311.93
2024-01-01 04:05:00,5158.65
2024-01-01 04:15:00,5305.78
2024-01-01 04:20:00,5171.28
2024-01-01 04:25:00,5133.73
2024-01-01 04:35:00,5136.81
2024-01-01 04:50:00,5079.46
2024-01-01 05:05:00,5186.65
2024-01-01 05:20:00,5121.79
2024-01-01 05:35:00,5085.26
2024-01-01 05:45:00,5336.16
2024-01-01 05:50:00,5164.46
2024-01-01 06:05:00,5255.94
2024-01-01 06:10:00,5352.89
2024-01-01 06:15:00,5177.43
2024-01-01 06:20:00,5309.54
2024-01-01 06:25:00,5145.0
2024-01-01 06:35:00,4973.64
2024-01-01 06:45:00,4984.22
2024-01-01 06:50:00,4652.07
2024-01-01 06:55:00,4462.28
2024-01-01 07:00:00,4257.46
2024-01-01 07:05:00,4106.92
2024-01-01 07:10:00,4607.7
2024-01-01 07:15:00,4067.66
2024-01-01 07:20:00,3395.18
2024-01-01 07:25:00,3295.16
2024-01-01 07:30:00,3449.8
2024-01-01 07:35:00,3380.5
2024-01-01 07:50:00,3314.96
2024-01-01 07:55:00,2907.38
2024-01-01 08:00:00,2698.12
2024-01-01 08:05:00,2434.25
2024-01-01 08:10:00,1977.17
2024-01-01 08:15:00,2355.39
2024-01-01 08:20:00,2204.51
2024-01-01 08:25:00,1784.98
2024-01-01 08:35:00,2087.08
2024-01-01 08:40:00,2322.62
2024-01-01 08:45:00,2094.59
2024-01-01 08:50:00,1527.25
2024-01-01 08:55:00,3697.97
2024-01-01 09:00:00,2281.32
2024-01-01 09:05:00,1706.81
2024-01-01 09:10:00,1334.38
2024-01-01 09:15:00,345.799
2024-01-01 09:20:00,-185.701
2024-01-01 09:25:00,1262.01
2024-01-01 09:30:00,2197.69
2024-01-01 09:35:00,1452.49
2024-01-01 09:40:00,2209.97
2024-01-01 09:45:00,-343.751
2024-01-01 09:50:00,456.742
2024-01-01 09:55:00,-922.7
2024-01-01 10:00:00,-1733.77
2024-01-01 10:05:00,-1416.99
2024-01-01 10:10:00,-1557.63
2024-01-01 10:15:00,-1151.41
2024-01-01 10:20:00,-646.88
2024-01-01 10:25:00,843.163
2024-01-01 10:30:00,891.295
2024-01-01 10:35:00,-2348.23
2024-01-01 10:40:00,-837.701
2024-01-01 10:45:00,-2462.24
2024-01-01 10:50:00,-2554.07
2024-01-01 10:55:00,-1983.31
2024-01-01 11:00:00,-1153.12
2024-01-01 11:05:00,-2346.18
2024-01-01 11:10:00,-960.25
2024-01-01 11:15:00,-470.737
2024-01-01 11:20:00,-2406.26
2024-01-01 11:25:00,-2151.6
2024-01-01 11:30:00,-1367.84
2024-01-01 11:35:00,-778.987
2024-01-01 11:40:00,1445.32
2024-01-01 11:45:00,-1388.66
2024-01-01 11:50:00,-798.103
2024-01-01 11:55:00,410.999
2024-01-01 12:00:00,11.9477
2024-01-01 12:05:00,2568.4
2024-01-01 12:10:00,476.199
2024-01-01 12:15:00,-987.9
2024-01-01 12:20:00,-277.185
2024-01-01 12:25:00,4033.53
2024-01-01 12:30:00,4696.79
2024-01-01 12:35:00,3945.8
2024-01-01 12:40:00,3227.91
2024-01-01 12:45:00,2320.58
2024-01-01 12:50:00,1909.58
2024-01-01 12:55:00,1720.46
2024-01-01 13:00:00,1194.08
2024-01-01 13:05:00,1359.98
2024-01-01 13:10:00,2443.47
2024-01-01 13:15:00,2802.24
2024-01-01 13:20:00,2055.34
2024-01-01 13:25:00,1698.96
2024-01-01 13:30:00,1601.67
2024-01-01 13:35:00,2603.91
2024-01-01 13:40:00,3892.2
2024-01-01 13:45:00,2491.94
2024-01-01 13:50:00,2173.45
2024-01-01 13:55:00,584.411
2024-01-01 14:00:00,909.387
2024-01-01 14:05:00,795.714
2024-01-01 14:10:00,1443.28
2024-01-01 14:15:00,324.635
2024-01-01 14:20:00,2200.76
2024-01-01 14:25:00,498.729
2024-01-01 14:30:00,-36.5257
2024-01-01 14:35:00,-1144.24
2024-01-01 14:40:00,-1047.3
2024-01-01 14:45:00,-939.085
2024-01-01 14:50:00,611.72
2024-01-01 14:55:00,1943.71
2024-01-01 15:00:00,2284.73
2024-01-01 15:05:00,2793.7
2024-01-01 15:10:00,2579.67
2024-01-01 15:15:00,2388.16
2024-01-01 15:20:00,2755.47
2024-01-01 15:25:00,859.207
2024-01-01 15:30:00,1222.76
2024-01-01 15:35:00,1401.63
2024-01-01 15:40:01,1807.51
2024-01-01 15:45:00,2143.41
2024-01-01 15:50:00,2146.82
2024-01-01 15:55:00,2361.2
2024-01-01 16:00:00,2730.55
2024-01-01 16:05:00,3088.3
2024-01-01 16:10:00,3067.47
2024-01-01 16:14:59,3250.79
2024-01-01 16:20:00,3615.36
2024-01-01 16:25:00,3794.57
2024-01-01 16:30:00,4031.82
2024-01-01 16:35:00,4431.21
2024-01-01 16:40:00,4620.33
2024-01-01 16:45:00,4829.24
2024-01-01 16:50:00,5014.94
2024-01-01 16:55:00,5221.12
2024-01-01 17:00:00,5590.48
2024-01-01 17:05:00,5757.06
2024-01-01 17:10:00,5952.66
2024-01-01 17:15:00,5948.91
2024-01-01 17:20:00,6117.2
2024-01-01 17:25:00,6296.75
2024-01-01 17:30:00,6285.83
2024-01-01 17:35:00,6386.53
2024-01-01 17:40:00,6382.09
2024-01-01 17:45:00,6791.39
2024-01-01 17:50:00,6597.15
2024-01-01 17:55:00,6599.88
2024-01-01 18:00:00,6564.72
2024-01-01 18:05:00,6742.23
2024-01-01 18:10:00,6907.11
2024-01-01 18:25:00,7081.88
2024-01-01 18:30:00,7086.32
2024-01-01 18:40:00,6957.97
2024-01-01 18:45:00,7139.23
2024-01-01 18:50:00,7161.08
2024-01-01 18:55:00,7184.98
2024-01-01 19:00:00,7192.14
2024-01-01 19:05:00,7213.31
2024-01-01 19:10:01,7039.9
2024-01-01 19:20:00,7252.57
2024-01-01 19:25:00,6904.72
2024-01-01 19:30:00,7089.05
2024-01-01 19:35:00,6910.86
2024-01-01 19:40:00,7118.41
2024-01-01 19:45:00,6938.85
2024-01-01 19:55:00,6924.86
2024-01-01 20:00:00,7099.98
2024-01-01 20:05:00,6928.61
2024-01-01 20:10:00,6876.73
2024-01-01 20:15:00,6925.2
2024-01-01 20:20:00,6713.9
2024-01-01 20:25:00,6885.94
2024-01-01 20:30:00,6713.9
2024-01-01 20:40:00,6832.35
2024-01-01 20:55:00,6888.67
2024-01-01 21:00:00,6701.95
2024-01-01 21:10:00,6720.72
2024-01-01 21:25:00,6556.19
2024-01-01 21:30:00,6722.09
2024-01-01 21:35:00,6551.41
2024-01-01 21:40:00,6489.28
2024-01-01 21:55:00,6487.57
2024-01-01 22:05:00,6377.66
2024-01-01 22:10:00,6414.52
2024-01-01 22:25:00,6273.2
2024-01-01 22:40:00,6249.99
2024-01-01 22:55:00,6077.94
2024-01-01 23:10:00,6219.26
2024-01-01 23:20:00,6076.58
2024-01-01 23:25:00,6060.19
2024-01-01 23:30:00,5894.97
2024-01-01 23:40:00,5769.35
2024-01-01 23:45:00,5897.36
2024-01-01 23:55:00,5721.22
2024-01-02 00:00:00,5721.22
2024-01-02 00:05:00,5548.83
2024-01-02 00:10:00,5642.36
2024-01-02 00:25:00,5400.68
2024-01-02 00:40:00,5360.74
2024-01-02 00:55:00,5544.05
2024-01-02 01:00:00,5363.13
2024-01-02 01:10:00,5312.27
2024-01-02 01:25:00,5302.03
2024-01-02 01:35:00,5180.5
2024-01-02 01:40:00,5352.21
2024-01-02 01:45:00,5181.53
2024-01-02 01:55:00,5189.72
2024-01-02 02:10:00,5132.37
2024-01-02 02:25:00,5187.67
2024-01-02 02:30:00,5002.65
2024-01-02 02:40:00,5058.29
2024-01-02 02:45:00,4986.95
2024-01-02 02:55:00,5023.13
2024-01-02 03:05:00,5163.43
2024-01-02 03:10:00,5044.64
2024-01-02 03:15:00,4967.83
2024-01-02 03:25:00,4996.51
2024-01-02 03:40:00,4947.69
2024-01-02 03:55:00,4828.9
2024-01-02 04:10:00,4916.29
2024-01-02 04:25:00,5027.91
2024-01-02 04:35:00,4793.74
2024-01-02 04:40:00,4985.58
2024-01-02 04:50:00,5148.41
2024-01-02 04:55:00,5000.26
2024-01-02 05:00:00,4975.34
2024-01-02 05:05:00,5174.7
2024-01-02 05:10:00,5186.99
2024-01-02 05:15:00,5161.39
2024-01-02 05:20:00,5465.54
2024-01-02 05:25:00,5422.19
2024-01-02 05:30:00,5421.5
2024-01-02 05:35:00,5616.08
2024-01-02 05:40:00,5608.57
2024-01-02 05:45:00,5774.81
2024-01-02 05:50:00,5590.14
2024-01-02 05:55:00,5667.28
2024-01-02 06:00:00,5842.74
2024-01-02 06:05:00,5683.67
2024-01-02 06:10:00,5606.18
2024-01-02 06:20:00,5508.21
2024-01-02 06:25:00,5945.83
2024-01-02 06:30:00,5690.84
2024-01-02 06:35:00,5500.7
2024-01-02 06:40:00,5506.5
2024-01-02 06:45:00,5655.34
2024-01-02 06:50:00,5480.56
2024-01-02 06:55:00,5482.95
2024-01-02 07:00:00,5362.11
2024-01-02 07:05:00,4962.37
2024-01-02 07:10:00,5051.13
2024-01-02 07:15:00,4713.18
2024-01-02 07:20:00,5562.83
2024-01-02 07:25:00,5400.68
2024-01-02 07:30:00,4066.3
2024-01-02 07:35:00,4242.1
2024-01-02 07:40:00,4028.75
2024-01-02 07:45:00,3863.53
2024-01-02 07:50:00,3855.68
2024-01-02 07:55:00,3489.74
2024-01-02 08:00:00,3655.98
2024-01-02 08:05:00,3507.83
2024-01-02 08:10:00,3917.46
2024-01-02 08:15:00,5128.61
2024-01-02 08:20:00,5242.29
2024-01-02 08:25:00,6175.57
2024-01-02 08:30:00,4130.47
2024-01-02 08:35:00,1942.01
2024-01-02 08:40:00,1444.3
2024-01-02 08:45:00,2554.41
2024-01-02 08:50:00,5520.5
2024-01-02 08:55:00,5243.65
2024-01-02 09:00:00,3744.39
2024-01-02 09:05:00,3452.87
2024-01-02 09:10:00,3753.61
2024-01-02 09:15:00,961.615
2024-01-02 09:20:00,5001.29
2024-01-02 09:25:00,1995.26
2024-01-02 09:30:00,1185.89
2024-01-02 09:35:00,3856.7
2024-01-02 09:40:00,-165.219
2024-01-02 09:45:00,-336.924
2024-01-02 09:50:00,3772.39
2024-01-02 09:55:00,-25.9435
2024-01-02 10:00:00,-572.463
2024-01-02 10:05:00,-501.46
2024-01-02 10:10:00,-300.398
2024-01-02 10:15:00,-634.25
2024-01-02 10:20:00,1622.49
2024-01-02 10:25:00,140.641
2024-01-02 10:30:00,2159.45
2024-01-02 10:35:00,4476.61
2024-01-02 10:40:00,-815.513
2024-01-02 10:45:00,-311.663
2024-01-02 10:50:00,-1373.3
2024-01-02 10:55:00,-1512.57
2024-01-02 11:00:00,-1254.5
2024-01-02 11:05:00,1611.91
2024-01-02 11:10:00,-1237.78
2024-01-02 11:15:00,-1884.66
2024-01-02 11:20:00,-1308.44
2024-01-02 11:25:00,-95.2398
2024-01-02 11:30:00,4056.74
2024-01-02 11:35:00,-1663.45
2024-01-02 11:40:00,930.893
2024-01-02 11:45:00,-993.02
2024-01-02 11:50:00,-1583.92
2024-01-02 11:55:00,-1280.45
2024-01-02 12:00:00,-1879.19
2024-01-02 12:05:00,-428.75
2024-01-02 12:10:00,-1447.37
2024-01-02 12:15:00,-1677.79
2024-01-02 12:20:00,2914.89
2024-01-02 12:25:00,-1657.31
2024-01-02 12:30:00,1626.25
2024-01-02 12:35:00,2304.19
2024-01-02 12:40:00,2044.41
2024-01-02 12:45:00,3492.81
2024-01-02 12:50:00,4793.06
2024-01-02 12:55:00,5231.71
2024-01-02 13:00:00,5203.71
2024-01-02 13:05:00,3716.06
2024-01-02 13:10:00,-2442.44
2024-01-02 13:15:00,-1639.22
2024-01-02 13:20:00,-1401.29
2024-01-02 13:25:00,-471.42
2024-01-02 13:30:00,2697.1
2024-01-02 13:35:00,-322.245
2024-01-02 13:40:00,735.975
2024-01-02 13:45:00,1269.52
2024-01-02 13:50:00,2700.51
2024-01-02 13:55:00,3444.68
2024-01-02 14:00:00,-123.573
2024-01-02 14:05:00,22.8712
2024-01-02 14:10:00,534.231
2024-01-02 14:15:00,4499.49
2024-01-02 14:20:00,5406.82
2024-01-02 14:24:59,5288.71
2024-01-02 14:30:00,4516.55
2024-01-02 14:35:00,4099.07
2024-01-02 14:40:00,3695.58
2024-01-02 14:45:00,2224.31
2024-01-02 14:50:00,3165.44
2024-01-02 14:55:00,815.854
2024-01-02 15:00:00,3293.11
2024-01-02 15:05:00,1555.93
2024-01-02 15:10:00,4463.3
2024-01-02 15:15:00,2313.41
2024-01-02 15:20:00,3903.47
2024-01-02 15:25:00,2115.76
2024-01-02 15:30:00,2253.33
2024-01-02 15:35:00,2440.73
2024-01-02 15:40:00,3802.43
2024-01-02 15:45:00,3521.83
2024-01-02 15:50:00,3458.67
2024-01-02 15:55:00,5294.17
2024-01-02 16:00:00,3967.3
2024-01-02 16:05:00,4114.77
2024-01-02 16:10:00,4112.04
2024-01-02 16:15:00,4497.44
2024-01-02 16:20:00,4374.21
2024-01-02 16:25:00,4473.54
2024-01-02 16:30:00,4631.93
2024-01-02 16:35:00,4795.79
2024-01-02 16:40:00,4997.87
2024-01-02 16:45:00,5406.14
2024-01-02 16:55:00,5930.81
2024-01-02 17:00:00,6105.93
2024-01-02 17:05:00,6272.18
2024-01-02 17:10:00,6444.9
2024-01-02 17:15:00,6469.48
2024-01-02 17:25:00,6681.81
2024-01-02 17:30:00,6856.24
2024-01-02 17:35:00,7038.87
2024-01-02 17:40:00,7153.23
2024-01-02 17:45:00,7226.96
2024-01-02 17:50:00,7345.07
2024-01-02 18:00:00,7331.08
2024-01-02 18:05:00,7526.0
2024-01-02 18:10:00,7667.32
2024-01-02 18:15:00,7486.74
2024-01-02 18:20:00,7645.47
2024-01-02 18:25:00,7657.08
2024-01-02 18:30:00,7842.44
2024-01-02 18:35:00,7663.56
2024-01-02 18:40:00,7653.67
2024-01-02 18:45:00,7724.33
2024-01-02 18:50:00,7545.79
2024-01-02 18:55:00,7727.06
2024-01-02 19:00:00,7766.66
2024-01-02 19:05:00,7611.34
2024-01-02 19:10:00,7590.85
2024-01-02 19:15:00,7590.17
2024-01-02 19:25:00,7604.85
2024-01-02 19:30:00,7414.71
2024-01-02 19:35:00,7409.59
2024-01-02 19:40:00,7588.47
2024-01-02 19:45:00,7416.08
2024-01-02 19:50:00,7424.95
2024-01-02 20:00:00,7423.59
2024-01-02 20:05:00,7250.86
2024-01-02 20:10:00,7428.37
2024-01-02 20:15:00,7399.69
2024-01-02 20:20:00,7414.71
2024-01-02 20:25:00,7227.65
2024-01-02 20:30:00,7229.01
2024-01-02 20:45:00,7059.01
2024-01-02 20:50:00,7229.69
2024-01-02 21:00:00,7056.97
2024-01-02 21:15:00,6971.62
2024-01-02 21:20:00,6882.87
2024-01-02 21:30:00,6884.24
2024-01-02 21:45:00,6782.17
2024-01-02 21:50:00,6706.05
2024-01-02 22:05:00,6693.76
2024-01-02 22:15:00,6549.7
2024-01-02 22:25:00,6310.07
2024-01-02 22:30:00,6408.38
2024-01-02 22:35:00,6489.28
2024-01-02 22:45:00,6316.21
2024-01-02 23:00:00,6145.53
2024-01-02 23:15:00,6184.45
2024-01-02 23:20:00,5974.17
2024-01-02 23:25:00,6160.55
2024-01-02 23:30:00,6032.2
2024-01-02 23:35:00,5813.39
2024-01-02 23:45:00,5809.63
2024-01-03 00:00:00,5768.33
2024-01-03 00:05:00,5604.81
2024-01-03 00:15:00,5595.94
2024-01-03 00:25:00,5426.28
2024-01-03 00:30:00,5504.45
2024-01-03 00:45:00,5414.33
2024-01-03 01:00:00,5403.41
2024-01-03 01:15:00,5382.59
2024-01-03 01:25:00,5249.12
2024-01-03 01:30:00,5278.47
2024-01-03 01:35:00,5439.94
2024-01-03 01:40:00,5251.85
2024-01-03 01:45:00,5282.57
