Time,NetLoadDemand
2024-01-01 00:00:00,10.0
2024-01-01 00:30:00,9.0
2024-01-01 06:45:00,8.0
2024-01-01 07:15:00,7.0
2024-01-01 07:45:00,8.0
2024-01-01 08:00:00,7.0
2024-01-01 08:15:00,8.0
2024-01-01 08:30:00,7.0
2024-01-01 09:15:00,5.0
2024-01-01 09:45:00,6.0
2024-01-01 10:00:00,5.0
2024-01-01 10:15:00,6.0
2024-01-01 10:30:00,5.0
2024-01-01 10:45:00,6.0
2024-01-01 11:15:00,8.0
2024-01-01 12:00:00,7.0
2024-01-01 12:15:00,6.0
2024-01-01 12:30:00,7.0
2024-01-01 13:00:00,5.0
2024-01-01 13:15:00,6.0
2024-01-01 13:30:00,5.0
2024-01-01 13:45:00,8.0
2024-01-01 14:35:00,7.0
2024-01-01 14:50:00,6.0
2024-01-01 15:05:00,7.0
2024-01-01 15:50:00,8.0
2024-01-01 16:35:00,9.0
2024-01-01 17:50:00,10.0
2024-01-01 23:20:00,9.0
2024-01-02 00:00:00,9.0
2024-01-02 01:50:00,8.0
2024-01-02 02:05:00,9.0
2024-01-02 02:35:00,8.0
2024-01-02 02:50:00,9.0
2024-01-02 03:05:00,8.0
2024-01-02 03:20:00,9.0
2024-01-02 03:35:00,8.0
2024-01-02 06:20:00,9.0
2024-01-02 06:50:00,8.0
2024-01-02 07:05:00,9.0
2024-01-02 07:20:00,10.0
2024-01-02 07:35:00,9.0
2024-01-02 07:50:00,10.0
2024-01-02 08:05:00,9.0
2024-01-02 08:20:00,10.0
2024-01-02 08:35:00,11.0
2024-01-02 09:05:00,10.0
2024-01-02 09:15:00,12.0
2024-01-02 09:35:00,11.0
2024-01-02 09:50:00,10.0
2024-01-02 10:05:00,11.0
2024-01-02 10:20:00,10.0
2024-01-02 10:35:00,11.0
2024-01-02 10:45:00,9.0
2024-01-02 12:20:00,10.0
2024-01-02 12:35:00,9.0
2024-01-02 12:45:00,11.0
2024-01-02 13:20:00,10.0
2024-01-02 13:50:00,11.0
