Time,NetLoadDemand
2024-01-01 00:00:00,0.0
2024-01-01 00:00:00,880.893
2024-01-01 00:01:00,851.526
2024-01-01 00:05:00,918.657
2024-01-01 00:10:00,850.117
2024-01-01 00:15:00,853.589
2024-01-01 00:20:00,867.087
2024-01-01 00:25:00,926.744
2024-01-01 00:30:00,882.401
2024-01-01 00:35:00,910.862
2024-01-01 00:40:00,926.094
2024-01-01 00:45:00,893.863
2024-01-01 00:50:00,831.641
2024-01-01 00:55:00,861.37
2024-01-01 01:00:00,952.935
2024-01-01 01:05:00,852.952
2024-01-01 01:10:00,835.205
2024-01-01 01:15:00,941.638
2024-01-01 01:20:00,922.797
2024-01-01 01:25:00,832.659
2024-01-01 01:30:00,853.765
2024-01-01 01:35:00,922.872
2024-01-01 01:40:00,846.643
2024-01-01 01:45:00,837.124
2024-01-01 01:50:00,963.231
2024-01-01 01:55:00,885.851
2024-01-01 02:00:00,922.346
2024-01-01 02:05:00,880.175
2024-01-01 02:10:00,884.815
2024-01-01 02:15:00,801.856
2024-01-01 02:20:00,869.879
2024-01-01 02:25:00,943.687
2024-01-01 02:30:00,884.01
2024-01-01 02:35:00,925.852
2024-01-01 02:40:00,905.32
2024-01-01 02:45:00,849.828
2024-01-01 02:50:00,846.887
2024-01-01 02:55:00,822.172
2024-01-01 03:00:00,932.324
2024-01-01 03:05:00,890.458
2024-01-01 03:10:00,861.674
2024-01-01 03:15:00,864.317
2024-01-01 03:20:00,823.457
2024-01-01 03:25:00,835.608
2024-01-01 03:30:00,866.944
2024-01-01 03:35:00,872.985
2024-01-01 03:40:00,860.957
2024-01-01 03:45:00,843.825
2024-01-01 03:50:00,787.986
2024-01-01 03:55:00,832.62
2024-01-01 04:00:00,821.452
2024-01-01 04:05:00,843.475
2024-01-01 04:10:00,790.587
2024-01-01 04:15:00,770.766
2024-01-01 04:20:00,830.899
2024-01-01 04:25:00,838.496
2024-01-01 04:30:00,819.273
2024-01-01 04:35:00,856.543
2024-01-01 04:40:00,732.586
2024-01-01 04:45:00,741.318
2024-01-01 04:50:00,775.507
2024-01-01 04:55:00,827.899
2024-01-01 05:00:00,774.644
2024-01-01 05:05:00,815.084
2024-01-01 05:10:00,739.337
2024-01-01 05:15:00,757.35
2024-01-01 05:20:00,880.683
2024-01-01 05:25:00,817.057
2024-01-01 05:30:00,696.216
2024-01-01 05:35:00,715.142
2024-01-01 05:40:00,778.632
2024-01-01 05:45:00,799.847
2024-01-01 05:50:00,773.46
2024-01-01 05:55:00,793.241
2024-01-01 06:00:00,823.493
2024-01-01 06:05:00,765.953
2024-01-01 06:10:00,786.714
2024-01-01 06:15:00,799.864
2024-01-01 06:20:00,816.161
2024-01-01 06:25:00,745.069
2024-01-01 06:30:00,781.718
2024-01-01 06:35:00,755.853
2024-01-01 06:40:00,751.888
2024-01-01 06:45:00,682.077
2024-01-01 06:50:00,717.323
2024-01-01 06:55:00,708.0
2024-01-01 07:00:00,703.546
2024-01-01 07:05:00,692.54
2024-01-01 07:10:00,719.776
2024-01-01 07:15:00,712.153
2024-01-01 07:20:00,701.002
2024-01-01 07:25:00,734.854
2024-01-01 07:30:00,695.603
2024-01-01 07:35:00,667.122
2024-01-01 07:40:00,597.805
2024-01-01 07:45:00,613.538
2024-01-01 07:50:00,682.875
2024-01-01 07:55:00,698.122
2024-01-01 08:00:00,703.852
2024-01-01 08:05:00,665.013
2024-01-01 08:10:00,683.235
2024-01-01 08:15:00,669.548
2024-01-01 08:20:00,646.172
2024-01-01 08:25:00,711.06
2024-01-01 08:30:00,618.848
2024-01-01 08:35:00,644.778
2024-01-01 08:40:00,650.617
2024-01-01 08:45:00,682.628
2024-01-01 08:50:00,656.404
2024-01-01 08:55:00,657.49
2024-01-01 09:00:00,676.136
2024-01-01 09:05:00,656.476
2024-01-01 09:10:00,635.081
2024-01-01 09:15:00,631.731
2024-01-01 09:20:00,680.645
2024-01-01 09:25:00,613.869
2024-01-01 09:30:00,610.256
2024-01-01 09:35:00,627.897
2024-01-01 09:40:00,626.622
2024-01-01 09:45:00,633.867
2024-01-01 09:50:00,648.08
2024-01-01 09:55:00,639.049
2024-01-01 10:00:00,653.788
