Time,NetLoadDemand
2024-01-01 00:00:00,3133
2024-01-01 00:05:00,3075
2024-01-01 00:10:00,3134
2024-01-01 00:15:00,3064
2024-01-01 00:20:00,3070
2024-01-01 00:35:00,3058
2024-01-01 00:40:00,2997
2024-01-01 00:45:00,3059
2024-01-01 00:50:00,3052
2024-01-01 00:55:00,2998
2024-01-01 01:00:00,3059
2024-01-01 01:05:00,3119
2024-01-01 01:10:00,3056
2024-01-01 01:25:00,3051
2024-01-01 01:35:00,2963
2024-01-01 01:50:00,2953
2024-01-01 01:55:00,2924
2024-01-01 02:00:00,2987
2024-01-01 02:05:00,2935
2024-01-01 02:10:00,2928
2024-01-01 02:15:00,2931
2024-01-01 02:20:00,2884
2024-01-01 02:30:00,2804
2024-01-01 02:35:00,2813
2024-01-01 02:40:00,2804
2024-01-01 02:45:00,2868
2024-01-01 02:50:00,2855
2024-01-01 02:55:00,2805
2024-01-01 03:00:00,2745
2024-01-01 03:05:00,2825
2024-01-01 03:15:00,2764
2024-01-01 03:20:00,2818
2024-01-01 03:25:00,2763
2024-01-01 03:35:00,2753
2024-01-01 03:55:00,2702
2024-01-01 04:05:00,2756
2024-01-01 04:10:00,2716
2024-01-01 04:15:00,2779
2024-01-01 04:20:00,2716
2024-01-01 04:30:00,2653
2024-01-01 04:35:00,2714
2024-01-01 04:40:00,2651
2024-01-01 04:50:00,2680
2024-01-01 05:05:00,2663
2024-01-01 05:10:00,2712
2024-01-01 05:15:00,2651
2024-01-01 05:20:00,2688
2024-01-01 05:35:00,2634
2024-01-01 05:50:00,2661
2024-01-01 05:55:00,2651
2024-01-01 06:05:00,2614
2024-01-01 06:10:00,2588
2024-01-01 06:15:00,2648
2024-01-01 06:25:00,2652
2024-01-01 06:30:00,2615
2024-01-01 06:35:00,2632
2024-01-01 06:50:00,2687
2024-01-01 06:55:00,2625
2024-01-01 07:10:00,2686
2024-01-01 07:15:00,2619
2024-01-01 07:20:00,2682
2024-01-01 07:25:00,2689
2024-01-01 07:35:00,2672
2024-01-01 07:45:00,2690
2024-01-01 07:50:00,2729
2024-01-01 07:55:00,2686
2024-01-01 08:00:00,2763
2024-01-01 08:05:00,2770
2024-01-01 08:10:00,2772
2024-01-01 08:15:00,2770
2024-01-01 08:20:00,2820
2024-01-01 08:30:00,2837
2024-01-01 08:40:00,2772
2024-01-01 08:50:00,2903
2024-01-01 08:55:00,2889
2024-01-01 09:00:00,2987
2024-01-01 09:10:00,2941
2024-01-01 09:15:00,2935
2024-01-01 09:20:00,2992
2024-01-01 09:25:00,2993
2024-01-01 09:30:00,2864
2024-01-01 09:35:00,2985
2024-01-01 09:40:00,3045
2024-01-01 09:45:00,3047
2024-01-01 09:50:00,3043
2024-01-01 09:55:00,2982
2024-01-01 10:00:00,3051
2024-01-01 10:05:00,3116
2024-01-01 10:15:00,3115
2024-01-01 10:20:00,3067
2024-01-01 10:25:00,3065
2024-01-01 10:30:00,3072
2024-01-01 10:35:00,3074
2024-01-01 10:40:00,3137
2024-01-01 10:45:00,3140
2024-01-01 10:55:00,3136
2024-01-01 11:00:00,3015
2024-01-01 11:05:00,3149
2024-01-01 11:10:00,3228
2024-01-01 11:15:00,3146
2024-01-01 11:20:00,3232
2024-01-01 11:25:00,3252
2024-01-01 11:30:00,3319
