Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,temperature_2m_max,temperature_2m_min,month,day,quarter,hour,weather_effect
2024-01-01 0:00,2805,23.817501,85.39067,0,0,1014.2,1005.72546,10.1887,57.99466,0,97,18,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:05,2820.6666666666665,23.821667,85.34758,0,0,1014.175,1005.70074,10.145743,56.911762,0,96.666664,20.416666,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:10,2836.333333333333,23.825834,85.30448,0,0,1014.15,1005.6761,10.102787,55.828865,0,96.333336,22.833334,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:15,2852,23.830002,85.26139,0,0,1014.125,1005.65137,10.05983,54.745968,0,96,25.25,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:20,2832,23.834167,85.21829,0,0,1014.10004,1005.6267,10.016873,53.66307,0,95.666664,27.666666,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:25,2812,23.838333,85.1752,0,0,1014.075,1005.602,9.973917,52.580173,0,95.333336,30.083334,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:30,2792,23.8425,85.13211,0,0,1014.05005,1005.5773,9.93096,51.497276,0,95,32.5,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:35,2800.333333333333,23.846668,85.08901,0,0,1014.025,1005.5526,9.888003,50.414383,0,94.666664,34.916668,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:40,2808.6666666666665,23.850834,85.04592,0,0,1014,1005.5279,9.845047,49.331486,0,94.333336,37.333332,0,0,29.2175,23.6175,1,1,1,0,3
2024-01-01 0:45,2817,23.855,85.00282,0,0,1013.97504,1005.50323,9.802091,48.24859,0,94,39.75,0,0,29.2175,23.6175,1,1,1,0,3
