Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,sunshine_duration,temperature_2m_max,temperature_2m_min,is_day,weather_effect,is_holiday
2024-01-01 00:00:00-04:00,1774.0,23.02,89.07,0.0,0.0,1015.3,986.63,10.69,32.62,0.0,71.0,12.0,0.0,0.0,0.0,27.38,22.27,0.0,2,1
2024-01-01 00:15:00-04:00,1756.0,22.99,88.66,0.0,0.0,1015.27,986.6,11.15,34.26,0.0,76.0,14.5,0.0,0.0,0.0,27.38,22.27,0.0,2,1
2024-01-01 00:30:00-04:00,1719.0,22.95,88.25,0.0,0.0,1015.25,986.58,11.61,35.9,0.0,81.0,17.0,0.0,0.0,0.0,27.38,22.27,0.0,2,1
2024-01-01 00:45:00-04:00,1699.0,22.91,87.84,0.0,0.0,1015.23,986.55,12.07,37.54,0.0,86.0,19.5,0.0,0.0,0.0,27.38,22.27,0.0,2,1
2024-01-01 01:00:00-04:00,1731.0,22.88,87.43,0.0,0.0,1015.2,986.52,12.54,39.17,0.0,91.0,22.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 01:15:00-04:00,1663.0,22.9,86.76,0.0,0.0,1015.05,986.38,12.33,40.01,0.0,91.75,23.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 01:30:00-04:00,1696.5,22.93,86.1,0.0,0.0,1014.9,986.23,12.13,40.84,0.0,92.5,25.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 01:45:00-04:00,1671.0,22.95,85.44,0.0,0.0,1014.75,986.09,11.93,41.68,0.0,93.25,26.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 02:00:00-04:00,1647.0,22.98,84.78,0.0,0.0,1014.6,985.95,11.72,42.51,0.0,94.0,28.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 02:15:00-04:00,1648.0,22.9,85.04,0.0,0.0,1014.5,985.84,11.34,43.13,0.0,95.5,27.25,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 02:30:00-04:00,1609.5,22.82,85.29,0.0,0.0,1014.4,985.74,10.95,43.76,0.0,97.0,26.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 02:45:00-04:00,1609.0,22.75,85.55,0.0,0.0,1014.3,985.63,10.57,44.38,0.0,98.5,25.75,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 03:00:00-04:00,1601.0,22.67,85.8,0.0,0.0,1014.2,985.53,10.18,45.0,0.0,100.0,25.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 03:15:00-04:00,1582.0,22.62,85.93,0.03,0.0,1014.18,985.5,10.48,42.42,0.0,99.5,37.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 03:30:00-04:00,1586.0,22.57,86.06,0.05,0.0,1014.15,985.47,10.78,39.85,0.0,99.0,50.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 03:45:00-04:00,1574.0,22.53,86.19,0.08,0.0,1014.12,985.44,11.08,37.27,0.0,98.5,62.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 04:00:00-04:00,1542.0,22.48,86.32,0.1,0.0,1014.1,985.41,11.38,34.7,0.0,98.0,75.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 04:15:00-04:00,1556.0,22.43,86.31,0.1,0.0,1014.15,985.46,11.69,35.24,0.0,97.75,74.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 04:30:00-04:00,1536.0,22.38,86.31,0.1,0.0,1014.2,985.5,11.99,35.78,0.0,97.5,74.0,0.0,0.0,0.0,27.38,22.27,0.0,3,1
2024-01-01 04:45:00-04:00,1506.0,22.32,86.3,0.1,0.0,1014.25,985.54,12.3,36.33,0.0,97.25,73.5,0.0,0.0,0.0,27.38,22.27,0.0,3,1
