Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,sunshine_duration,temperature_2m_max,temperature_2m_min,is_day,weather_effect,is_holiday
2024-01-01 00:00:00-04:00,11.0,24.85,86.8,0.0,0.0,1015.2,1014.5,10.99,31.61,0.0,79.0,8.0,0.0,0.0,0.0,29.65,24.05,0.0,2,1
2024-01-01 00:15:00-04:00,11.5,24.82,86.74,0.03,0.0,1015.18,1014.48,11.11,34.64,0.0,80.5,12.75,0.0,0.0,0.0,29.65,24.05,0.0,2,1
2024-01-01 00:30:00-04:00,12.0,24.78,86.67,0.05,0.0,1015.15,1014.45,11.22,37.67,0.0,82.0,17.5,0.0,0.0,0.0,29.65,24.05,0.0,2,1
2024-01-01 00:45:00-04:00,11.0,24.74,86.6,0.08,0.0,1015.12,1014.43,11.34,40.7,0.0,83.5,22.25,0.0,0.0,0.0,29.65,24.05,0.0,2,1
2024-01-01 01:00:00-04:00,12.0,24.7,86.53,0.1,0.0,1015.1,1014.4,11.46,43.73,0.0,85.0,27.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 01:15:00-04:00,11.0,24.65,86.26,0.08,0.0,1014.95,1014.25,11.12,46.59,0.0,85.25,22.5,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 01:30:00-04:00,12.0,24.6,85.99,0.05,0.0,1014.8,1014.1,10.77,49.45,0.0,85.5,18.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 01:45:00-04:00,11.5,24.55,85.73,0.03,0.0,1014.65,1013.95,10.43,52.31,0.0,85.75,13.5,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 02:00:00-04:00,11.0,24.5,85.46,0.0,0.0,1014.5,1013.8,10.09,55.18,0.0,86.0,9.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 02:15:00-04:00,11.25,24.44,85.45,0.0,0.0,1014.43,1013.73,10.11,55.88,0.0,88.75,11.25,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 02:30:00-04:00,11.5,24.38,85.45,0.0,0.0,1014.35,1013.65,10.14,56.59,0.0,91.5,13.5,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 02:45:00-04:00,11.75,24.32,85.44,0.0,0.0,1014.28,1013.58,10.16,57.29,0.0,94.25,15.75,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 03:00:00-04:00,12.0,24.25,85.43,0.0,0.0,1014.2,1013.5,10.19,57.99,0.0,97.0,18.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 03:15:00-04:00,11.0,24.27,85.31,0.0,0.0,1014.13,1013.43,10.06,54.75,0.0,96.0,25.25,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 03:30:00-04:00,12.0,24.28,85.18,0.0,0.0,1014.05,1013.35,9.93,51.5,0.0,95.0,32.5,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 03:45:00-04:00,11.0,24.29,85.05,0.0,0.0,1013.98,1013.28,9.8,48.25,0.0,94.0,39.75,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 04:00:00-04:00,11.5,24.3,84.92,0.0,0.0,1013.9,1013.2,9.67,45.0,0.0,93.0,47.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 04:15:00-04:00,12.0,24.24,84.85,0.0,0.0,1013.95,1013.25,10.76,41.05,0.0,92.75,41.25,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 04:30:00-04:00,11.0,24.18,84.78,0.0,0.0,1014.0,1013.3,11.85,37.1,0.0,92.5,35.5,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 04:45:00-04:00,12.0,24.12,84.7,0.0,0.0,1014.05,1013.35,12.93,33.15,0.0,92.25,29.75,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 05:00:00-04:00,13.0,24.05,84.63,0.0,0.0,1014.1,1013.4,14.02,29.2,0.0,92.0,24.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 05:15:00-04:00,12.0,24.07,84.57,0.0,0.0,1014.2,1013.5,14.34,32.19,0.0,89.25,20.25,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 05:30:00-04:00,12.33,24.08,84.51,0.0,0.0,1014.3,1013.6,14.66,35.19,0.0,86.5,16.5,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 05:45:00-04:00,12.67,24.09,84.44,0.0,0.0,1014.4,1013.7,14.99,38.19,0.0,83.75,12.75,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 06:00:00-04:00,13.0,24.1,84.38,0.0,0.0,1014.5,1013.8,15.31,41.19,0.0,81.0,9.0,0.0,0.0,0.0,29.65,24.05,0.0,3,1
2024-01-01 06:15:00-04:00,13.0,24.22,84.33,0.0,0.0,1014.62,1013.93,15.18,43.13,4.5,63.5,8.25,16.66,2.75,14.03,29.65,24.05,0.0,3,1
2024-01-01 06:30:00-04:00,12.5,24.33,84.27,0.0,0.0,1014.75,1014.05,15.05,45.07,9.0,46.0,7.5,33.32,5.5,28.06,29.65,24.05,0.0,3,1
