Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,sunshine_duration,temperature_2m_max,temperature_2m_min,is_day,weather_effect,is_holiday
2024-01-01 00:00:00-04:00,2805.0,24.42,86.76,0.0,0.0,1015.2,1006.73,10.99,31.61,0.0,79.0,8.0,0.0,0.0,0.0,29.22,23.62,0.0,2,1
2024-01-01 00:15:00-04:00,2852.0,24.38,86.7,0.03,0.0,1015.18,1006.71,11.11,34.64,0.0,80.5,12.75,0.0,0.0,0.0,29.22,23.62,0.0,2,1
2024-01-01 00:30:00-04:00,2792.0,24.34,86.63,0.05,0.0,1015.15,1006.68,11.22,37.67,0.0,82.0,17.5,0.0,0.0,0.0,29.22,23.62,0.0,2,1
2024-01-01 00:45:00-04:00,2817.0,24.31,86.56,0.08,0.0,1015.12,1006.66,11.34,40.7,0.0,83.5,22.25,0.0,0.0,0.0,29.22,23.62,0.0,2,1
2024-01-01 01:00:00-04:00,2808.0,24.27,86.49,0.1,0.0,1015.1,1006.63,11.46,43.73,0.0,85.0,27.0,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 01:15:00-04:00,2851.0,24.22,86.22,0.08,0.0,1014.95,1006.48,11.12,46.59,0.0,85.25,22.5,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 01:30:00-04:00,2808.0,24.17,85.95,0.05,0.0,1014.8,1006.33,10.77,49.45,0.0,85.5,18.0,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 01:45:00-04:00,2773.0,24.12,85.68,0.03,0.0,1014.65,1006.18,10.43,52.31,0.0,85.75,13.5,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 02:00:00-04:00,2821.0,24.07,85.42,0.0,0.0,1014.5,1006.03,10.09,55.18,0.0,86.0,9.0,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 02:15:00-04:00,2803.0,24.01,85.41,0.0,0.0,1014.43,1005.95,10.11,55.88,0.0,88.75,11.25,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 02:30:00-04:00,2673.0,23.94,85.4,0.0,0.0,1014.35,1005.88,10.14,56.59,0.0,91.5,13.5,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 02:45:00-04:00,2717.0,23.88,85.4,0.0,0.0,1014.28,1005.8,10.16,57.29,0.0,94.25,15.75,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 03:00:00-04:00,2660.0,23.82,85.39,0.0,0.0,1014.2,1005.73,10.19,57.99,0.0,97.0,18.0,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 03:15:00-04:00,2649.0,23.83,85.26,0.0,0.0,1014.13,1005.65,10.06,54.75,0.0,96.0,25.25,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 03:30:00-04:00,2631.0,23.84,85.13,0.0,0.0,1014.05,1005.58,9.93,51.5,0.0,95.0,32.5,0.0,0.0,0.0,29.22,23.62,0.0,3,1
2024-01-01 03:45:00-04:00,2635.0,23.86,85.0,0.0,0.0,1013.98,1005.5,9.8,48.25,0.0,94.0,39.75,0.0,0.0,0.0,29.22,23.62,0.0,3,1
