Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,sunshine_duration,temperature_2m_max,temperature_2m_min,is_day,weather_effect,is_holiday
2024-03-16 16:00:00-04:00,2982.0,29.23,58.04,0.0,0.0,1012.1,1010.61,22.33,88.15,438.0,92.0,25.0,398.5,196.0,3600.0,30.73,25.98,1.0,3,0
2024-03-16 16:15:00-04:00,3198.33,29.01,58.96,0.0,0.0,1012.15,1010.66,22.49,86.36,382.25,93.0,28.5,349.33,181.0,3600.0,30.73,25.98,1.0,3,0
2024-03-16 16:30:00-04:00,3302.67,28.78,59.88,0.0,0.0,1012.2,1010.71,22.65,84.57,326.5,94.0,32.0,300.16,166.0,3600.0,30.73,25.98,1.0,3,0
2024-03-16 16:45:00-04:00,3639.0,28.56,60.8,0.0,0.0,1012.25,1010.76,22.81,82.77,270.75,95.0,35.5,250.99,151.0,3600.0,30.73,25.98,1.0,3,0
2024-03-16 17:00:00-04:00,3927.67,28.33,61.72,0.0,0.0,1012.3,1010.81,22.96,80.98,215.0,96.0,39.0,201.81,136.0,3600.0,30.73,25.98,1.0,3,0
2024-03-16 17:15:00-04:00,4067.67,28.16,62.41,0.0,0.0,1012.35,1010.86,21.58,78.72,184.0,96.75,34.5,227.69,111.5,3421.62,30.73,25.98,1.0,3,0
2024-03-16 17:30:00-04:00,4264.67,27.98,63.11,0.0,0.0,1012.4,1010.91,20.19,76.46,153.0,97.5,30.0,253.57,87.0,3243.24,30.73,25.98,1.0,3,0
2024-03-16 17:45:00-04:00,4363.33,27.81,63.8,0.0,0.0,1012.45,1010.96,18.8,74.2,122.0,98.25,25.5,279.45,62.5,3064.86,30.73,25.98,1.0,3,0
2024-03-16 18:00:00-04:00,4459.67,27.63,64.49,0.0,0.0,1012.5,1011.01,17.42,71.94,91.0,99.0,21.0,305.33,38.0,2886.49,30.73,25.98,1.0,3,0
2024-03-16 18:15:00-04:00,4531.67,27.68,64.35,0.0,0.0,1012.55,1011.06,17.65,73.63,68.25,98.75,32.25,229.0,28.5,2164.86,30.73,25.98,1.0,3,0
2024-03-16 18:30:00-04:00,4712.67,27.73,64.21,0.0,0.0,1012.6,1011.11,17.89,75.31,45.5,98.5,43.5,152.67,19.0,1443.24,30.73,25.98,1.0,3,0
2024-03-16 18:45:00-04:00,4791.33,27.78,64.08,0.0,0.0,1012.65,1011.16,18.12,77.0,22.75,98.25,54.75,76.33,9.5,721.62,30.73,25.98,1.0,3,0
2024-03-16 19:00:00-04:00,4767.0,27.83,63.94,0.0,0.0,1012.7,1011.21,18.36,78.69,0.0,98.0,66.0,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 19:15:00-04:00,4761.67,27.66,65.94,0.03,0.0,1012.85,1011.36,19.27,78.69,0.0,96.0,55.5,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 19:30:00-04:00,4814.5,27.48,67.93,0.05,0.0,1013.0,1011.5,20.19,78.69,0.0,94.0,45.0,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 19:45:00-04:00,4749.5,27.31,69.93,0.08,0.0,1013.15,1011.65,21.11,78.69,0.0,92.0,34.5,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 20:00:00-04:00,3178.33,27.13,71.93,0.1,0.0,1013.3,1011.8,22.03,78.69,0.0,90.0,24.0,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 20:15:00-04:00,3354.5,27.08,71.92,0.08,0.0,1013.55,1012.05,21.52,78.13,0.0,87.0,21.0,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 20:30:00-04:00,4225.33,27.03,71.91,0.05,0.0,1013.8,1012.3,21.01,77.58,0.0,84.0,18.0,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 20:45:00-04:00,4203.33,26.98,71.9,0.03,0.0,1014.05,1012.55,20.5,77.02,0.0,81.0,15.0,0.0,0.0,0.0,30.73,25.98,0.0,3,0
2024-03-16 21:00:00-04:00,4140.33,26.93,71.89,0.0,0.0,1014.3,1012.8,20.0,76.46,0.0,78.0,12.0,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 21:15:00-04:00,4145.0,26.96,71.57,0.0,0.0,1014.32,1012.83,19.78,76.86,0.0,72.75,12.0,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 21:30:00-04:00,4257.33,26.98,71.25,0.0,0.0,1014.35,1012.85,19.56,77.26,0.0,67.5,12.0,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 21:45:00-04:00,4399.33,27.01,70.93,0.0,0.0,1014.38,1012.88,19.35,77.66,0.0,62.25,12.0,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 22:00:00-04:00,4204.67,27.03,70.6,0.0,0.0,1014.4,1012.9,19.13,78.06,0.0,57.0,12.0,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 22:15:00-04:00,4445.33,26.97,70.86,0.0,0.0,1014.45,1012.95,19.44,77.72,0.0,55.25,14.25,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 22:30:00-04:00,4512.0,26.91,71.13,0.0,0.0,1014.5,1013.0,19.74,77.38,0.0,53.5,16.5,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 22:45:00-04:00,4318.0,26.84,71.39,0.0,0.0,1014.55,1013.05,20.04,77.04,0.0,51.75,18.75,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 23:00:00-04:00,4282.33,26.78,71.65,0.0,0.0,1014.6,1013.1,20.35,76.7,0.0,50.0,21.0,0.0,0.0,0.0,30.73,25.98,0.0,2,0
2024-03-16 23:15:00-04:00,4225.67,26.74,71.92,0.0,0.0,1014.62,1013.12,20.0,76.45,0.0,48.75,22.75,0.0,0.0,0.0,30.81,26.07,0.0,2,0
2024-03-16 23:30:00-04:00,4174.33,26.71,72.19,0.0,0.0,1014.65,1013.15,19.65,76.2,0.0,47.5,24.5,0.0,0.0,0.0,30.88,26.16,0.0,2,0
2024-03-16 23:45:00-04:00,4140.33,26.67,72.46,0.0,0.0,1014.68,1013.17,19.3,75.95,0.0,46.25,26.25,0.0,0.0,0.0,30.96,26.24,0.0,2,0
2024-03-17 00:00:00-04:00,4123.25,26.63,72.73,0.0,0.0,1014.7,1013.2,18.95,75.7,0.0,45.0,28.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 00:15:00-04:00,4083.0,26.66,72.62,0.0,0.0,1014.55,1013.05,18.82,76.17,0.0,40.75,26.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 00:30:00-04:00,4084.0,26.68,72.51,0.0,0.0,1014.4,1012.9,18.69,76.65,0.0,36.5,25.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 00:45:00-04:00,4025.67,26.71,72.41,0.0,0.0,1014.25,1012.75,18.56,77.12,0.0,32.25,23.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 01:00:00-04:00,3967.67,26.73,72.3,0.0,0.0,1014.1,1012.6,18.43,77.59,0.0,28.0,22.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 01:15:00-04:00,3939.33,26.68,72.63,0.0,0.0,1013.95,1012.45,18.66,76.09,0.0,26.75,20.75,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 01:30:00-04:00,3902.0,26.63,72.95,0.0,0.0,1013.8,1012.3,18.89,74.58,0.0,25.5,19.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 01:45:00-04:00,3864.67,26.58,73.28,0.0,0.0,1013.65,1012.15,19.12,73.07,0.0,24.25,18.25,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 02:00:00-04:00,3820.5,26.53,73.61,0.0,0.0,1013.5,1012.0,19.35,71.56,0.0,23.0,17.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 02:15:00-04:00,3842.0,26.48,73.94,0.0,0.0,1013.43,1011.92,19.33,70.97,0.0,27.75,16.75,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 02:30:00-04:00,3792.33,26.43,74.27,0.0,0.0,1013.35,1011.85,19.3,70.38,0.0,32.5,16.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 02:45:00-04:00,3730.0,26.38,74.61,0.0,0.0,1013.28,1011.77,19.28,69.79,0.0,37.25,16.25,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 03:00:00-04:00,3710.33,26.33,74.94,0.0,0.0,1013.2,1011.7,19.26,69.19,0.0,42.0,16.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 03:15:00-04:00,3762.0,26.34,74.77,0.0,0.0,1013.1,1011.6,19.37,69.87,0.0,37.25,16.75,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 03:30:00-04:00,3701.0,26.36,74.6,0.0,0.0,1013.0,1011.5,19.48,70.54,0.0,32.5,17.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 03:45:00-04:00,3667.67,26.37,74.43,0.0,0.0,1012.9,1011.4,19.59,71.22,0.0,27.75,18.25,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 04:00:00-04:00,3687.0,26.38,74.26,0.0,0.0,1012.8,1011.3,19.69,71.9,0.0,23.0,19.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 04:15:00-04:00,3684.0,26.39,74.26,0.0,0.0,1012.85,1011.35,19.78,71.98,0.0,26.5,17.75,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 04:30:00-04:00,3695.33,26.41,74.27,0.0,0.0,1012.9,1011.4,19.87,72.06,0.0,30.0,16.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 04:45:00-04:00,3649.67,26.42,74.27,0.0,0.0,1012.95,1011.45,19.95,72.14,0.0,33.5,15.25,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 05:00:00-04:00,3698.33,26.43,74.27,0.0,0.0,1013.0,1011.5,20.04,72.22,0.0,37.0,14.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 05:15:00-04:00,3736.67,26.46,74.05,0.0,0.0,1013.15,1011.65,20.3,72.44,0.0,29.75,12.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 05:30:00-04:00,3743.67,26.48,73.83,0.0,0.0,1013.3,1011.8,20.55,72.66,0.0,22.5,11.0,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 05:45:00-04:00,3758.67,26.51,73.6,0.0,0.0,1013.45,1011.95,20.81,72.89,0.0,15.25,9.5,0.0,0.0,0.0,31.03,26.33,0.0,1,0
2024-03-17 06:00:00-04:00,3778.33,26.53,73.38,0.0,0.0,1013.6,1012.1,21.07,73.11,0.0,8.0,8.0,0.0,0.0,0.0,31.03,26.33,0.0,0,0
2024-03-17 06:15:00-04:00,3738.67,26.72,72.64,0.0,0.0,1013.72,1012.23,21.56,73.72,15.25,13.5,8.25,60.97,6.25,534.19,31.03,26.33,0.0,0,0
2024-03-17 06:30:00-04:00,3783.33,26.91,71.91,0.0,0.0,1013.85,1012.35,22.06,74.32,30.5,19.0,8.5,121.94,12.5,1068.38,31.03,26.33,0.0,0,0
2024-03-17 06:45:00-04:00,3627.0,27.09,71.17,0.0,0.0,1013.97,1012.48,22.56,74.93,45.75,24.5,8.75,182.91,18.75,1602.57,31.03,26.33,0.0,0,0
2024-03-17 07:00:00-04:00,3508.33,27.28,70.43,0.0,0.0,1014.1,1012.6,23.05,75.53,61.0,30.0,9.0,243.87,25.0,2136.76,31.03,26.33,1.0,1,0
2024-03-17 07:15:00-04:00,3270.67,27.58,69.04,0.0,0.0,1014.3,1012.8,23.58,75.84,115.5,31.25,11.25,332.42,37.25,2502.57,31.03,26.33,1.0,1,0
2024-03-17 07:30:00-04:00,3343.33,27.88,67.65,0.0,0.0,1014.5,1013.0,24.1,76.14,170.0,32.5,13.5,420.96,49.5,2868.38,31.03,26.33,1.0,1,0
2024-03-17 07:45:00-04:00,2963.67,28.18,66.26,0.0,0.0,1014.7,1013.21,24.62,76.45,224.5,33.75,15.75,509.51,61.75,3234.19,31.03,26.33,1.0,1,0
2024-03-17 08:00:00-04:00,2985.33,28.48,64.87,0.0,0.0,1014.9,1013.41,25.15,76.76,279.0,35.0,18.0,598.06,74.0,3600.0,31.03,26.33,1.0,1,0
2024-03-17 08:15:00-04:00,2640.33,28.52,64.73,0.03,0.0,1015.13,1013.63,25.96,76.96,328.75,42.5,24.0,612.03,82.5,3600.0,31.03,26.33,1.0,1,0
2024-03-17 08:30:00-04:00,2744.67,28.56,64.59,0.05,0.0,1015.35,1013.86,26.77,77.15,378.5,50.0,30.0,626.01,91.0,3600.0,31.03,26.33,1.0,1,0
2024-03-17 08:45:00-04:00,2683.0,28.59,64.45,0.08,0.0,1015.57,1014.08,27.58,77.35,428.25,57.5,36.0,639.98,99.5,3600.0,31.03,26.33,1.0,1,0
2024-03-17 09:00:00-04:00,2484.67,28.63,64.31,0.1,0.0,1015.8,1014.31,28.39,77.55,478.0,65.0,42.0,653.96,108.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 09:15:00-04:00,2227.67,28.82,62.79,0.13,0.0,1015.87,1014.38,28.14,78.2,518.0,73.75,34.0,637.48,130.25,3600.0,31.03,26.33,1.0,3,0
2024-03-17 09:30:00-04:00,1860.0,29.01,61.28,0.15,0.0,1015.95,1014.46,27.9,78.86,558.0,82.5,26.0,621.0,152.5,3600.0,31.03,26.33,1.0,3,0
2024-03-17 09:45:00-04:00,1472.67,29.19,59.77,0.18,0.0,1016.02,1014.53,27.65,79.51,598.0,91.25,18.0,604.52,174.75,3600.0,31.03,26.33,1.0,3,0
2024-03-17 10:00:00-04:00,1356.33,29.38,58.26,0.2,0.0,1016.1,1014.61,27.4,80.17,638.0,100.0,10.0,588.05,197.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 10:15:00-04:00,1245.0,29.64,56.86,0.15,0.0,1016.05,1014.56,27.05,81.43,695.5,97.0,10.75,642.41,187.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 10:30:00-04:00,1326.33,29.91,55.47,0.1,0.0,1016.0,1014.51,26.71,82.7,753.0,94.0,11.5,696.77,177.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 10:45:00-04:00,1438.67,30.17,54.07,0.05,0.0,1015.95,1014.46,26.36,83.97,810.5,91.0,12.25,751.13,167.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 11:00:00-04:00,2117.0,30.43,52.68,0.0,0.0,1015.9,1014.42,26.01,85.24,868.0,88.0,13.0,805.49,157.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 11:15:00-04:00,1593.67,30.58,51.96,0.0,0.0,1015.8,1014.32,25.99,86.63,888.25,90.25,20.75,813.54,155.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 11:30:00-04:00,1841.67,30.73,51.24,0.0,0.0,1015.7,1014.22,25.97,88.02,908.5,92.5,28.5,821.59,153.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 11:45:00-04:00,1421.67,30.88,50.53,0.0,0.0,1015.6,1014.12,25.94,89.41,928.75,94.75,36.25,829.64,151.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 12:00:00-04:00,1743.67,31.03,49.81,0.0,0.0,1015.5,1014.02,25.92,90.8,949.0,97.0,44.0,837.69,149.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 12:15:00-04:00,1380.0,30.94,50.14,0.0,0.0,1015.35,1013.87,25.93,91.39,927.0,97.5,43.0,786.8,174.5,3600.0,31.03,26.33,1.0,3,0
2024-03-17 12:30:00-04:00,1745.0,30.86,50.47,0.0,0.0,1015.2,1013.72,25.94,91.99,905.0,98.0,42.0,735.92,200.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 12:45:00-04:00,1520.0,30.77,50.8,0.0,0.0,1015.05,1013.57,25.95,92.58,883.0,98.5,41.0,685.03,225.5,3600.0,31.03,26.33,1.0,3,0
2024-03-17 13:00:00-04:00,1446.67,30.68,51.13,0.0,0.0,1014.9,1013.42,25.96,93.18,861.0,99.0,40.0,634.14,251.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 13:15:00-04:00,1221.33,30.48,51.65,0.0,0.0,1014.73,1013.24,25.8,93.81,809.25,99.25,38.75,570.84,265.75,3600.0,31.03,26.33,1.0,3,0
2024-03-17 13:30:00-04:00,1403.67,30.28,52.17,0.0,0.0,1014.55,1013.07,25.64,94.45,757.5,99.5,37.5,507.54,280.5,3600.0,31.03,26.33,1.0,3,0
2024-03-17 13:45:00-04:00,1304.67,30.08,52.68,0.0,0.0,1014.38,1012.89,25.48,95.08,705.75,99.75,36.25,444.24,295.25,3600.0,31.03,26.33,1.0,3,0
2024-03-17 14:00:00-04:00,1539.0,29.88,53.2,0.0,0.0,1014.2,1012.71,25.33,95.71,654.0,100.0,35.0,380.94,310.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 14:15:00-04:00,1868.0,29.83,53.65,0.0,0.0,1014.1,1012.61,25.02,94.28,665.0,99.75,27.25,441.66,285.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 14:30:00-04:00,1551.0,29.78,54.1,0.0,0.0,1014.0,1012.51,24.72,92.86,676.0,99.5,19.5,502.38,260.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 14:45:00-04:00,2040.33,29.73,54.55,0.0,0.0,1013.9,1012.41,24.42,91.43,687.0,99.25,11.75,563.09,235.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 15:00:00-04:00,1955.33,29.68,55.0,0.0,0.0,1013.8,1012.31,24.12,90.0,698.0,99.0,4.0,623.81,210.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 15:15:00-04:00,2103.67,29.69,54.79,0.0,0.0,1013.7,1012.21,24.57,90.0,663.75,99.0,7.0,643.85,190.75,3600.0,31.03,26.33,1.0,3,0
2024-03-17 15:30:00-04:00,2330.33,29.71,54.58,0.0,0.0,1013.6,1012.11,25.02,90.0,629.5,99.0,10.0,663.9,171.5,3600.0,31.03,26.33,1.0,3,0
2024-03-17 15:45:00-04:00,2797.0,29.72,54.37,0.0,0.0,1013.5,1012.02,25.47,90.0,595.25,99.0,13.0,683.94,152.25,3600.0,31.03,26.33,1.0,3,0
2024-03-17 16:00:00-04:00,3101.67,29.73,54.16,0.0,0.0,1013.4,1011.92,25.92,90.0,561.0,99.0,16.0,703.98,133.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 16:15:00-04:00,3091.0,29.57,54.51,0.0,0.0,1013.4,1011.91,25.76,88.78,497.0,96.25,15.0,663.85,122.75,3600.0,31.03,26.33,1.0,3,0
2024-03-17 16:30:00-04:00,3397.33,29.41,54.85,0.0,0.0,1013.4,1011.91,25.61,87.55,433.0,93.5,14.0,623.71,112.5,3600.0,31.03,26.33,1.0,3,0
2024-03-17 16:45:00-04:00,3728.33,29.24,55.2,0.0,0.0,1013.4,1011.91,25.45,86.33,369.0,90.75,13.0,583.58,102.25,3600.0,31.03,26.33,1.0,3,0
2024-03-17 17:00:00-04:00,3784.0,29.08,55.54,0.0,0.0,1013.4,1011.91,25.29,85.1,305.0,88.0,12.0,543.44,92.0,3600.0,31.03,26.33,1.0,3,0
2024-03-17 17:15:00-04:00,3886.33,28.87,57.13,0.0,0.0,1013.48,1011.99,25.1,85.69,251.75,90.75,33.25,479.51,79.5,3422.85,31.03,26.33,1.0,3,0
2024-03-17 17:30:00-04:00,4203.33,28.66,58.71,0.0,0.0,1013.55,1012.06,24.9,86.29,198.5,93.5,54.5,415.57,67.0,3245.71,31.03,26.33,1.0,3,0
2024-03-17 17:45:00-04:00,4324.33,28.44,60.3,0.0,0.0,1013.63,1012.13,24.7,86.88,145.25,96.25,75.75,351.64,54.5,3068.56,31.03,26.33,1.0,3,0
2024-03-17 18:00:00-04:00,4445.33,28.23,61.89,0.0,0.0,1013.7,1012.21,24.5,87.47,92.0,99.0,97.0,287.7,42.0,2891.41,31.03,26.33,1.0,3,0
2024-03-17 18:15:00-04:00,4560.67,28.13,62.95,0.0,0.0,1013.8,1012.31,24.52,86.84,69.0,97.5,75.0,215.78,31.5,2168.56,31.03,26.33,1.0,3,0
2024-03-17 18:30:00-04:00,4713.0,28.03,64.02,0.0,0.0,1013.9,1012.41,24.54,86.22,46.0,96.0,53.0,143.85,21.0,1445.71,31.03,26.33,1.0,3,0
2024-03-17 18:45:00-04:00,4803.0,27.93,65.08,0.0,0.0,1014.0,1012.51,24.56,85.59,23.0,94.5,31.0,71.93,10.5,722.85,31.03,26.33,1.0,3,0
2024-03-17 19:00:00-04:00,4851.0,27.83,66.14,0.0,0.0,1014.1,1012.6,24.58,84.96,0.0,93.0,9.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 19:15:00-04:00,4856.0,27.71,66.84,0.0,0.0,1014.27,1012.78,24.56,85.38,0.0,94.5,19.75,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 19:30:00-04:00,4930.0,27.58,67.54,0.0,0.0,1014.45,1012.95,24.55,85.8,0.0,96.0,30.5,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 19:45:00-04:00,4901.33,27.46,68.25,0.0,0.0,1014.62,1013.13,24.54,86.21,0.0,97.5,41.25,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 20:00:00-04:00,4884.33,27.33,68.95,0.0,0.0,1014.8,1013.3,24.52,86.63,0.0,99.0,52.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 20:15:00-04:00,4886.33,27.29,69.69,0.0,0.0,1014.95,1013.45,24.24,85.04,0.0,99.25,42.25,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 20:30:00-04:00,4864.33,27.26,70.44,0.0,0.0,1015.1,1013.6,23.95,83.44,0.0,99.5,32.5,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 20:45:00-04:00,4773.0,27.22,71.19,0.0,0.0,1015.25,1013.75,23.66,81.84,0.0,99.75,22.75,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 21:00:00-04:00,4794.33,27.18,71.94,0.0,0.0,1015.4,1013.9,23.38,80.25,0.0,100.0,13.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 21:15:00-04:00,4720.0,27.18,71.83,0.0,0.0,1015.43,1013.92,23.35,80.68,0.0,100.0,11.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 21:30:00-04:00,4684.67,27.18,71.72,0.0,0.0,1015.45,1013.95,23.32,81.12,0.0,100.0,9.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 21:45:00-04:00,4643.67,27.18,71.61,0.0,0.0,1015.48,1013.97,23.29,81.56,0.0,100.0,7.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 22:00:00-04:00,4590.67,27.18,71.5,0.0,0.0,1015.5,1014.0,23.27,82.0,0.0,100.0,5.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 22:15:00-04:00,4515.67,27.11,71.93,0.0,0.0,1015.43,1013.92,22.81,82.07,0.0,100.0,4.5,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 22:30:00-04:00,4476.0,27.03,72.36,0.0,0.0,1015.35,1013.85,22.35,82.14,0.0,100.0,4.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 22:45:00-04:00,4409.0,26.96,72.79,0.0,0.0,1015.28,1013.77,21.89,82.21,0.0,100.0,3.5,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 23:00:00-04:00,4379.67,26.88,73.22,0.0,0.0,1015.2,1013.7,21.43,82.28,0.0,100.0,3.0,0.0,0.0,0.0,31.03,26.33,0.0,3,0
2024-03-17 23:15:00-04:00,4272.67,26.92,73.0,0.0,0.0,1015.1,1013.6,21.6,82.57,0.0,100.0,5.75,0.0,0.0,0.0,31.17,26.29,0.0,3,0
2024-03-17 23:30:00-04:00,4201.33,26.96,72.79,0.0,0.0,1015.0,1013.5,21.77,82.87,0.0,100.0,8.5,0.0,0.0,0.0,31.31,26.26,0.0,3,0
2024-03-17 23:45:00-04:00,4163.33,26.99,72.57,0.0,0.0,1014.9,1013.4,21.94,83.16,0.0,100.0,11.25,0.0,0.0,0.0,31.44,26.22,0.0,3,0
2024-03-18 00:00:00-04:00,4127.75,27.03,72.35,0.0,0.0,1014.8,1013.3,22.1,83.45,0.0,100.0,14.0,0.0,0.0,0.0,31.58,26.18,0.0,3,0
2024-03-18 00:15:00-04:00,4076.33,27.04,72.08,0.0,0.0,1014.65,1013.15,22.25,84.41,0.0,100.0,20.5,0.0,0.0,0.0,31.58,26.18,0.0,3,0
2024-03-18 00:30:00-04:00,4039.33,27.06,71.81,0.0,0.0,1014.5,1013.0,22.4,85.36,0.0,100.0,27.0,0.0,0.0,0.0,31.58,26.18,0.0,3,0
2024-03-18 00:45:00-04:00,4001.33,27.07,71.54,0.0,0.0,1014.35,1012.85,22.56,86.32,0.0,100.0,33.5,0.0,0.0,0.0,31.58,26.18,0.0,3,0
2024-03-18 01:00:00-04:00,3952.67,27.08,71.26,0.0,0.0,1014.2,1012.7,22.71,87.27,0.0,100.0,40.0,0.0,0.0,0.0,31.58,26.18,0.0,3,0
