Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,sunshine_duration,temperature_2m_max,temperature_2m_min,is_day,weather_effect,is_holiday
2024-03-16 16:00:00-04:00,1050.0,29.03,57.99,0.0,0.0,1012.1,1007.08,22.33,88.15,438.0,92.0,25.0,398.5,196.0,3600.0,30.53,25.78,1.0,3,0
2024-03-16 16:15:00-04:00,1373.33,28.8,58.91,0.0,0.0,1012.15,1007.13,22.49,86.36,382.25,93.0,28.5,349.33,181.0,3600.0,30.53,25.78,1.0,3,0
2024-03-16 16:30:00-04:00,1504.33,28.58,59.83,0.0,0.0,1012.2,1007.17,22.65,84.57,326.5,94.0,32.0,300.16,166.0,3600.0,30.53,25.78,1.0,3,0
2024-03-16 16:45:00-04:00,1826.0,28.35,60.75,0.0,0.0,1012.25,1007.22,22.81,82.77,270.75,95.0,35.5,250.99,151.0,3600.0,30.53,25.78,1.0,3,0
2024-03-16 17:00:00-04:00,1946.33,28.13,61.68,0.0,0.0,1012.3,1007.26,22.96,80.98,215.0,96.0,39.0,201.81,136.0,3600.0,30.53,25.78,1.0,3,0
2024-03-16 17:15:00-04:00,2077.33,27.95,62.37,0.0,0.0,1012.35,1007.31,21.58,78.72,184.0,96.75,34.5,227.69,111.5,3421.62,30.53,25.78,1.0,3,0
2024-03-16 17:30:00-04:00,2349.67,27.78,63.06,0.0,0.0,1012.4,1007.36,20.19,76.46,153.0,97.5,30.0,253.57,87.0,3243.24,30.53,25.78,1.0,3,0
2024-03-16 17:45:00-04:00,2388.5,27.6,63.75,0.0,0.0,1012.45,1007.4,18.8,74.2,122.0,98.25,25.5,279.45,62.5,3064.86,30.53,25.78,1.0,3,0
2024-03-16 18:00:00-04:00,2554.67,27.43,64.45,0.0,0.0,1012.5,1007.45,17.42,71.94,91.0,99.0,21.0,305.33,38.0,2886.49,30.53,25.78,1.0,3,0
2024-03-16 18:15:00-04:00,2563.67,27.48,64.31,0.0,0.0,1012.55,1007.5,17.65,73.63,68.25,98.75,32.25,229.0,28.5,2164.86,30.53,25.78,1.0,3,0
2024-03-16 18:30:00-04:00,2744.33,27.53,64.17,0.0,0.0,1012.6,1007.55,17.89,75.31,45.5,98.5,43.5,152.67,19.0,1443.24,30.53,25.78,1.0,3,0
2024-03-16 18:45:00-04:00,2769.67,27.58,64.03,0.0,0.0,1012.65,1007.6,18.12,77.0,22.75,98.25,54.75,76.33,9.5,721.62,30.53,25.78,1.0,3,0
2024-03-16 19:00:00-04:00,2763.0,27.63,63.9,0.0,0.0,1012.7,1007.65,18.36,78.69,0.0,98.0,66.0,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 19:15:00-04:00,2812.33,27.45,65.9,0.03,0.0,1012.85,1007.8,19.27,78.69,0.0,96.0,55.5,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 19:30:00-04:00,2825.33,27.28,67.89,0.05,0.0,1013.0,1007.95,20.19,78.69,0.0,94.0,45.0,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 19:45:00-04:00,2802.67,27.1,69.89,0.08,0.0,1013.15,1008.09,21.11,78.69,0.0,92.0,34.5,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 20:00:00-04:00,2864.33,26.93,71.89,0.1,0.0,1013.3,1008.24,22.03,78.69,0.0,90.0,24.0,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 20:15:00-04:00,2774.0,26.88,71.89,0.08,0.0,1013.55,1008.49,21.52,78.13,0.0,87.0,21.0,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 20:30:00-04:00,2790.33,26.83,71.88,0.05,0.0,1013.8,1008.74,21.01,77.58,0.0,84.0,18.0,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 20:45:00-04:00,2802.0,26.78,71.87,0.03,0.0,1014.05,1008.98,20.5,77.02,0.0,81.0,15.0,0.0,0.0,0.0,30.53,25.78,0.0,3,0
2024-03-16 21:00:00-04:00,2724.0,26.73,71.86,0.0,0.0,1014.3,1009.23,20.0,76.46,0.0,78.0,12.0,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 21:15:00-04:00,2723.67,26.75,71.54,0.0,0.0,1014.32,1009.26,19.78,76.86,0.0,72.75,12.0,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 21:30:00-04:00,2604.0,26.78,71.21,0.0,0.0,1014.35,1009.28,19.56,77.26,0.0,67.5,12.0,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 21:45:00-04:00,2494.67,26.8,70.89,0.0,0.0,1014.38,1009.31,19.35,77.66,0.0,62.25,12.0,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 22:00:00-04:00,2520.0,26.83,70.57,0.0,0.0,1014.4,1009.33,19.13,78.06,0.0,57.0,12.0,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 22:15:00-04:00,2479.67,26.77,70.83,0.0,0.0,1014.45,1009.38,19.44,77.72,0.0,55.25,14.25,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 22:30:00-04:00,2531.33,26.7,71.09,0.0,0.0,1014.5,1009.43,19.74,77.38,0.0,53.5,16.5,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 22:45:00-04:00,2430.0,26.64,71.35,0.0,0.0,1014.55,1009.48,20.04,77.04,0.0,51.75,18.75,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 23:00:00-04:00,2415.33,26.58,71.61,0.0,0.0,1014.6,1009.53,20.35,76.7,0.0,50.0,21.0,0.0,0.0,0.0,30.53,25.78,0.0,2,0
2024-03-16 23:15:00-04:00,2395.33,26.54,71.88,0.0,0.0,1014.62,1009.55,20.0,76.45,0.0,48.75,22.75,0.0,0.0,0.0,30.6,25.87,0.0,2,0
2024-03-16 23:30:00-04:00,2426.33,26.5,72.15,0.0,0.0,1014.65,1009.58,19.65,76.2,0.0,47.5,24.5,0.0,0.0,0.0,30.68,25.95,0.0,2,0
2024-03-16 23:45:00-04:00,2348.0,26.47,72.42,0.0,0.0,1014.68,1009.6,19.3,75.95,0.0,46.25,26.25,0.0,0.0,0.0,30.75,26.04,0.0,2,0
2024-03-17 00:00:00-04:00,2386.75,26.43,72.69,0.0,0.0,1014.7,1009.62,18.95,75.7,0.0,45.0,28.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 00:15:00-04:00,2373.0,26.45,72.59,0.0,0.0,1014.55,1009.48,18.82,76.17,0.0,40.75,26.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 00:30:00-04:00,2361.33,26.48,72.48,0.0,0.0,1014.4,1009.33,18.69,76.65,0.0,36.5,25.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 00:45:00-04:00,2268.33,26.5,72.37,0.0,0.0,1014.25,1009.18,18.56,77.12,0.0,32.25,23.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 01:00:00-04:00,2297.33,26.53,72.27,0.0,0.0,1014.1,1009.03,18.43,77.59,0.0,28.0,22.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 01:15:00-04:00,2235.67,26.48,72.59,0.0,0.0,1013.95,1008.88,18.66,76.09,0.0,26.75,20.75,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 01:30:00-04:00,2219.67,26.43,72.92,0.0,0.0,1013.8,1008.73,18.89,74.58,0.0,25.5,19.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 01:45:00-04:00,2188.67,26.38,73.25,0.0,0.0,1013.65,1008.58,19.12,73.07,0.0,24.25,18.25,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 02:00:00-04:00,2202.33,26.33,73.57,0.0,0.0,1013.5,1008.43,19.35,71.56,0.0,23.0,17.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 02:15:00-04:00,2239.0,26.28,73.91,0.0,0.0,1013.43,1008.35,19.33,70.97,0.0,27.75,16.75,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 02:30:00-04:00,2165.33,26.23,74.24,0.0,0.0,1013.35,1008.28,19.3,70.38,0.0,32.5,16.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 02:45:00-04:00,2153.67,26.18,74.57,0.0,0.0,1013.28,1008.2,19.28,69.79,0.0,37.25,16.25,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 03:00:00-04:00,2188.0,26.13,74.91,0.0,0.0,1013.2,1008.13,19.26,69.19,0.0,42.0,16.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 03:15:00-04:00,2137.0,26.14,74.74,0.0,0.0,1013.1,1008.03,19.37,69.87,0.0,37.25,16.75,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 03:30:00-04:00,2116.0,26.15,74.57,0.0,0.0,1013.0,1007.93,19.48,70.54,0.0,32.5,17.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 03:45:00-04:00,2092.67,26.17,74.4,0.0,0.0,1012.9,1007.83,19.59,71.22,0.0,27.75,18.25,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 04:00:00-04:00,2063.33,26.18,74.23,0.0,0.0,1012.8,1007.73,19.69,71.9,0.0,23.0,19.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 04:15:00-04:00,2119.33,26.19,74.23,0.0,0.0,1012.85,1007.78,19.78,71.98,0.0,26.5,17.75,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 04:30:00-04:00,2104.67,26.2,74.23,0.0,0.0,1012.9,1007.83,19.87,72.06,0.0,30.0,16.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 04:45:00-04:00,2133.0,26.22,74.23,0.0,0.0,1012.95,1007.88,19.95,72.14,0.0,33.5,15.25,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 05:00:00-04:00,2152.33,26.23,74.24,0.0,0.0,1013.0,1007.93,20.04,72.22,0.0,37.0,14.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 05:15:00-04:00,2210.67,26.25,74.01,0.0,0.0,1013.15,1008.08,20.3,72.44,0.0,29.75,12.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 05:30:00-04:00,2192.0,26.28,73.79,0.0,0.0,1013.3,1008.23,20.55,72.66,0.0,22.5,11.0,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 05:45:00-04:00,2251.33,26.3,73.57,0.0,0.0,1013.45,1008.38,20.81,72.89,0.0,15.25,9.5,0.0,0.0,0.0,30.83,26.13,0.0,1,0
2024-03-17 06:00:00-04:00,2290.0,26.33,73.35,0.0,0.0,1013.6,1008.53,21.07,73.11,0.0,8.0,8.0,0.0,0.0,0.0,30.83,26.13,0.0,0,0
2024-03-17 06:15:00-04:00,2150.33,26.52,72.61,0.0,0.0,1013.72,1008.66,21.56,73.72,15.25,13.5,8.25,60.97,6.25,534.19,30.83,26.13,0.0,0,0
2024-03-17 06:30:00-04:00,2168.0,26.7,71.87,0.0,0.0,1013.85,1008.78,22.06,74.32,30.5,19.0,8.5,121.94,12.5,1068.38,30.83,26.13,0.0,0,0
2024-03-17 06:45:00-04:00,2084.67,26.89,71.13,0.0,0.0,1013.97,1008.91,22.56,74.93,45.75,24.5,8.75,182.91,18.75,1602.57,30.83,26.13,0.0,0,0
2024-03-17 07:00:00-04:00,1684.67,27.08,70.4,0.0,0.0,1014.1,1009.04,23.05,75.53,61.0,30.0,9.0,243.87,25.0,2136.76,30.83,26.13,1.0,1,0
