Time,NetLoadDemand,temperature_2m,relative_humidity_2m,rain,snowfall,pressure_msl,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,cloud_cover,cloud_cover_low,direct_normal_irradiance,diffuse_radiation,sunshine_duration,temperature_2m_max,temperature_2m_min,is_day,weather_effect,is_holiday
2024-01-01 00:00:00-04:00,576.0,24.03,89.14,0.0,0.0,1015.3,1004.4,10.69,32.62,0.0,71.0,12.0,0.0,0.0,0.0,28.38,23.28,0.0,2,1
2024-01-01 00:15:00-04:00,558.0,23.99,88.74,0.0,0.0,1015.27,1004.37,11.15,34.26,0.0,76.0,14.5,0.0,0.0,0.0,28.38,23.28,0.0,2,1
2024-01-01 00:30:00-04:00,549.0,23.96,88.33,0.0,0.0,1015.25,1004.35,11.61,35.9,0.0,81.0,17.0,0.0,0.0,0.0,28.38,23.28,0.0,2,1
2024-01-01 00:45:00-04:00,558.0,23.92,87.92,0.0,0.0,1015.23,1004.32,12.07,37.54,0.0,86.0,19.5,0.0,0.0,0.0,28.38,23.28,0.0,2,1
2024-01-01 01:00:00-04:00,546.0,23.88,87.51,0.0,0.0,1015.2,1004.29,12.54,39.17,0.0,91.0,22.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 01:15:00-04:00,564.0,23.91,86.86,0.0,0.0,1015.05,1004.15,12.33,40.01,0.0,91.75,23.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 01:30:00-04:00,552.0,23.93,86.2,0.0,0.0,1014.9,1004.0,12.13,40.84,0.0,92.5,25.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 01:45:00-04:00,564.0,23.96,85.54,0.0,0.0,1014.75,1003.85,11.93,41.68,0.0,93.25,26.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 02:00:00-04:00,558.0,23.98,84.89,0.0,0.0,1014.6,1003.7,11.72,42.51,0.0,94.0,28.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 02:15:00-04:00,552.0,23.91,85.14,0.0,0.0,1014.5,1003.6,11.34,43.13,0.0,95.5,27.25,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 02:30:00-04:00,555.0,23.83,85.39,0.0,0.0,1014.4,1003.5,10.95,43.76,0.0,97.0,26.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 02:45:00-04:00,558.0,23.76,85.65,0.0,0.0,1014.3,1003.4,10.57,44.38,0.0,98.5,25.75,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 03:00:00-04:00,552.0,23.68,85.9,0.0,0.0,1014.2,1003.3,10.18,45.0,0.0,100.0,25.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 03:15:00-04:00,540.0,23.63,86.03,0.03,0.0,1014.18,1003.27,10.48,42.42,0.0,99.5,37.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 03:30:00-04:00,546.0,23.58,86.16,0.05,0.0,1014.15,1003.25,10.78,39.85,0.0,99.0,50.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 03:45:00-04:00,540.0,23.53,86.28,0.08,0.0,1014.12,1003.22,11.08,37.27,0.0,98.5,62.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 04:00:00-04:00,546.0,23.48,86.41,0.1,0.0,1014.1,1003.19,11.38,34.7,0.0,98.0,75.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 04:15:00-04:00,540.0,23.43,86.41,0.1,0.0,1014.15,1003.24,11.69,35.24,0.0,97.75,74.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 04:30:00-04:00,534.0,23.38,86.4,0.1,0.0,1014.2,1003.29,11.99,35.78,0.0,97.5,74.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 04:45:00-04:00,546.0,23.33,86.4,0.1,0.0,1014.25,1003.33,12.3,36.33,0.0,97.25,73.5,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 05:00:00-04:00,558.0,23.28,86.39,0.1,0.0,1014.3,1003.38,12.6,36.87,0.0,97.0,73.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
2024-01-01 05:15:00-04:00,540.0,23.29,86.73,0.1,0.0,1014.37,1003.46,13.08,38.15,0.0,90.0,59.0,0.0,0.0,0.0,28.38,23.28,0.0,3,1
