Name,count,mean,std,min,25%,50%,75%,max
Arch Hall,5070,4228.033302254283,3042.291061213452,-4721.056667,1901.859639,5379.255777777777,6468.972535714286,11074.828571428572
Chapel Street,4991,720.8509087786587,443.3042051480828,252,354,453,1188,1596
Dukes,5088,1479.913214256699,639.4879090908296,-300.8333333,992.7875,1653.3666666666668,1912.7,4457.363636363636
Fontabelle 1,4822,15.601635354253563,5.303862942062284,-2.6,13,15.5,18.666666666666668,35
Green Hill,5084,2589.9489943595177,1338.7096183782446,-3445.25,1989.5833333333333,3042.166666666667,3415.5,7332.25
Hanson (Belmont),5112,1023.6355436524906,168.79884305182142,571.5173333333333,893.8358125,1014.6939166666668,1149.7877083333333,2098.485833333333
Marhill St.,5076,376.9519976359338,194.48147382167545,145.8,217.44,268.95000000000005,558.9,788.4
Ometa Mall,5006,312.59760287654814,141.68699234659636,104,192,232,469.3333333333333,588
Sam Lords,3293,3706.647135862585,1128.2350911742806,155.58333333333334,2817.6666666666665,4042.75,4534.25,5587
Sunbury,3290,1823.2516123896369,959.1299699343282,-711.4166667,982.2708333333334,2267.375,2530.833333333333,4357.333333333333
Swan Street,4735,413.056099,327.9325629496063,108,150,198,796,1032
Welches,5082,568.0179881118488,219.56950898218608,-818.7272727,517.5,598.5,660,3488
