Time,temperature_2m,weather_code,shortwave_radiation_instant,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,direct_normal_irradiance_instant,diffuse_radiation_instant,sunshine_duration,rain,precipitation,shortwave_radiation,weather_code_daily
01-01-2024 00:00,23.9025,2,0,71,12,4,66,0,0,0,0,0,0,51
01-01-2024 01:00,23.7525,3,0,91,22,30,84,0,0,0,0,0,0,51
01-01-2024 02:00,23.8525,3,0,94,28,56,80,0,0,0,0,0,0,51
01-01-2024 03:00,23.5525,3,0,100,25,73,99,0,0,0,0,0,0,51
01-01-2024 04:00,23.3525,51,0,98,75,61,85,0,0,0,0.1,0.1,0,51
01-01-2024 05:00,23.1525,51,0,97,73,57,79,0,0,0,0.1,0.1,0,51
01-01-2024 06:00,23.2025,51,0,69,17,52,23,0,0,0,0.1,0.1,0,51
01-01-2024 07:00,23.6525,1,42.25096,28,20,9,3,87.08938,26.684818,56.34782,0,0,19,51
01-01-2024 08:00,24.7025,51,258.87677,65,33,54,0,676.4168,91.53654,3600,0.1,0.1,181,51
01-01-2024 09:00,26.3025,2,224.46947,64,14,59,0,101.329704,178.85535,732.4585,0,0,187,51
01-01-2024 10:00,27.1025,1,407.38675,35,6,31,0,347.676,193.14795,3600,0,0,367,51
01-01-2024 11:00,27.9025,3,679.78894,95,15,17,93,682.8939,178.39182,3600,0,0,644,51
01-01-2024 12:00,28.2525,1,778.6254,46,21,17,27,811.1389,132.81241,3600,0,0,768,51
01-01-2024 13:00,28.2025,3,714.08746,100,23,13,100,744.62274,119.990105,3600,0,0,732,51
01-01-2024 14:00,27.8025,3,603.4048,96,16,12,95,643.2512,127.96665,3600,0,0,646,51
01-01-2024 15:00,27.6525,2,497.42502,58,10,3,53,627.8682,105.6478,3600,0,0,565,51
01-01-2024 16:00,27.2025,1,335.2884,37,12,0,28,582.0713,67.37474,3600,0,0,423,51
01-01-2024 17:00,26.5025,0,120.48634,13,7,0,7,333.67496,34.01289,3600,0,0,209,51
01-01-2024 18:00,25.5525,0,0,2,2,0,0,0,0,845.48926,0,0,29,51
01-01-2024 19:00,25.3525,0,0,1,1,0,0,0,0,0,0,0,0,51
01-01-2024 20:00,25.4025,0,0,5,5,0,0,0,0,0,0,0,0,51
01-01-2024 21:00,25.2025,0,0,10,9,1,0,0,0,0,0,0,0,51
01-01-2024 22:00,25.1525,0,0,12,11,6,0,0,0,0,0,0,0,51
01-01-2024 23:00,25.0025,1,0,21,20,8,0,0,0,0,0,0,0,51
02-01-2024 00:00,24.9025,0,0,15,11,4,0,0,0,0,0,0,0,51
02-01-2024 01:00,24.6525,0,0,17,14,5,0,0,0,0,0,0,0,51
02-01-2024 02:00,24.3525,1,0,35,29,8,0,0,0,0,0,0,0,51
02-01-2024 03:00,23.4525,51,0,66,53,29,0,0,0,0,0.1,0.1,0,51
02-01-2024 04:00,23.7525,51,0,56,38,36,0,0,0,0,0.1,0.1,0,51
02-01-2024 05:00,23.8025,51,0,71,57,32,0,0,0,0,0.1,0.1,0,51
02-01-2024 06:00,23.8025,2,0,60,30,45,0,0,0,0,0,0,0,51
02-01-2024 07:00,23.5025,51,35.626038,69,15,65,0,62.40466,24.4929,0,0.1,0.1,16,51
02-01-2024 08:00,24.6525,51,196.33241,43,26,24,0,343.46637,111.780495,3600,0.1,0.1,137,51
02-01-2024 09:00,25.9525,51,345.9533,60,40,44,0,435.7786,150.15334,3600,0.1,0.1,288,51
02-01-2024 10:00,27.3025,51,460.86295,44,19,32,0,411.1595,207.66595,3600,0.1,0.1,415,51
02-01-2024 11:00,27.8025,51,686.345,30,16,18,0,683.0105,184.78519,3600,0.2,0.2,650,51
02-01-2024 12:00,27.7025,51,726.1257,54,20,45,0,716.5593,155.16373,3600,0.2,0.2,716,51
02-01-2024 13:00,27.8025,51,601.12537,36,17,28,0,514.2005,190.29132,3600,0.2,0.2,616,51
02-01-2024 14:00,27.9525,51,613.94214,36,28,14,0,648.47296,133.62819,3600,0.1,0.1,657,51
02-01-2024 15:00,27.0025,51,498.64166,29,12,22,0,657.3286,87.21825,3600,0.1,0.1,566,51
02-01-2024 16:00,27.7525,51,302.43402,12,8,5,0,494.3544,73.82248,3600,0.1,0.1,381,51
02-01-2024 17:00,27.2525,0,118.37065,11,11,2,0,321.81525,34.23465,3600,0,0,204,51
02-01-2024 18:00,26.2525,0,0,9,8,2,0,0,0,762.65686,0,0,29,51
02-01-2024 19:00,25.9025,0,0,7,6,3,0,0,0,0,0,0,0,51
02-01-2024 20:00,25.7525,0,0,10,6,6,0,0,0,0,0,0,0,51
02-01-2024 21:00,25.7025,0,0,7,7,2,0,0,0,0,0,0,0,51
02-01-2024 22:00,25.5025,0,0,7,7,0,0,0,0,0,0,0,0,51
02-01-2024 23:00,25.2525,0,0,5,5,0,0,0,0,0,0,0,0,51
03-01-2024 00:00,25.0025,0,0,5,5,0,0,0,0,0,0,0,0,51
03-01-2024 01:00,24.8025,0,0,2,2,0,0,0,0,0,0,0,0,51
03-01-2024 02:00,24.7525,0,0,6,6,0,0,0,0,0,0,0,0,51
03-01-2024 03:00,24.6525,1,0,34,34,0,0,0,0,0,0,0,0,51
03-01-2024 04:00,24.8525,1,0,23,23,0,0,0,0,0,0,0,0,51
03-01-2024 05:00,24.8025,0,0,17,17,0,0,0,0,0,0,0,0,51
03-01-2024 06:00,24.8025,0,0,17,17,0,0,0,0,0,0,0,0,51
03-01-2024 07:00,25.3025,0,49.04785,17,17,0,0,137.69922,24.523926,372.83832,0,0,22,51
03-01-2024 08:00,26.7025,0,271.37625,18,18,0,0,779.4341,80.407776,3600,0,0,189,51
03-01-2024 09:00,27.4525,0,477.21927,17,17,3,0,830.8024,104.57954,3600,0,0,397,51
03-01-2024 10:00,28.0025,51,624.3653,18,18,6,0,817.67053,121.09576,3600,0.1,0.1,562,51
03-01-2024 11:00,28.5525,0,722.4768,16,16,4,0,813.91626,124.63781,3600,0,0,684,51
03-01-2024 12:00,29.0025,0,793.29596,2,2,0,0,852.2484,113.617836,3600,0,0,782,51
03-01-2024 13:00,29.2525,0,819.0097,0,0,0,0,906.42883,93.71267,3600,0,0,839,51
03-01-2024 14:00,28.8525,0,721.7126,16,16,0,0,858.90485,84.137474,3600,0,0,772,51
03-01-2024 15:00,28.5525,1,541.2925,30,30,0,0,724.5022,86.39522,3600,0,0,614,51
03-01-2024 16:00,28.0025,2,318.76755,50,50,0,0,514.9532,79.49316,3600,0,0,401,51
03-01-2024 17:00,27.2025,1,103.3617,47,47,0,0,225.83035,43.79733,3600,0,0,177,51
03-01-2024 18:00,26.2025,0,0,12,12,0,0,0,0,581.8953,0,0,28,51
03-01-2024 19:00,25.9525,1,0,30,30,0,0,0,0,0,0,0,0,51
03-01-2024 20:00,25.8025,1,0,23,23,7,0,0,0,0,0,0,0,51
03-01-2024 21:00,26.0525,0,0,18,18,1,0,0,0,0,0,0,0,51
03-01-2024 22:00,25.8525,0,0,13,13,4,0,0,0,0,0,0,0,51
03-01-2024 23:00,25.6025,1,0,25,25,7,0,0,0,0,0,0,0,51
04-01-2024 00:00,25.4025,1,0,35,22,22,0,0,0,0,0,0,0,3
04-01-2024 01:00,25.4025,0,0,14,12,3,0,0,0,0,0,0,0,3
04-01-2024 02:00,25.4525,1,0,23,17,11,0,0,0,0,0,0,0,3
04-01-2024 03:00,25.5025,1,0,20,8,14,0,0,0,0,0,0,0,3
04-01-2024 04:00,25.3525,1,0,25,16,13,0,0,0,0,0,0,0,3
04-01-2024 05:00,25.3025,1,0,39,28,15,0,0,0,0,0,0,0,3
04-01-2024 06:00,25.5025,1,0,30,22,13,0,0,0,0,0,0,0,3
04-01-2024 07:00,25.8525,1,42.412544,22,9,15,0,112.98988,22.322392,216.48375,0,0,19,3
04-01-2024 08:00,26.9025,0,254.62442,10,10,0,0,672.36993,90.629036,3600,0,0,177,3
04-01-2024 09:00,27.7525,1,481.15134,21,2,2,17,856.86426,97.43314,3600,0,0,400,3
04-01-2024 10:00,28.5525,0,681.2992,14,8,2,7,948.3976,97.80477,3600,0,0,613,3
04-01-2024 11:00,28.8025,1,771.3054,29,13,4,18,903.03906,107.77145,3600,0,0,730,3
04-01-2024 12:00,28.8025,1,804.69135,41,12,0,33,861.84454,116.69547,3600,0,0,793,3
04-01-2024 13:00,29.0025,1,792.91077,24,22,0,3,865.09204,99.60209,3600,0,0,812,3
04-01-2024 14:00,28.7525,1,652.8084,37,33,0,6,673.79034,151.5114,3600,0,0,698,3
04-01-2024 15:00,28.3525,1,501.95575,46,34,0,19,616.22253,113.80016,3600,0,0,569,3
04-01-2024 16:00,27.8025,2,323.9983,67,57,0,23,520.0304,81.19859,3600,0,0,407,3
04-01-2024 17:00,26.9025,3,104.59787,92,46,0,85,203.16763,50.53605,3600,0,0,178,3
04-01-2024 18:00,26.3025,3,0,85,31,0,78,0,0,489.66098,0,0,26,3
04-01-2024 19:00,25.9525,3,0,81,23,4,74,0,0,0,0,0,0,3
04-01-2024 20:00,26.1025,3,0,81,14,15,76,0,0,0,0,0,0,3
04-01-2024 21:00,25.9025,3,0,96,15,18,94,0,0,0,0,0,0,3
04-01-2024 22:00,25.8525,2,0,75,12,6,69,0,0,0,0,0,0,3
