Actual,ANN,LSTM
5671.4225,5293.836,3960.0012
5465.878571428571,4124.7466,3696.4714
5295.625,3884.619,5214.9077
5170.035,4381.762,5228.644
5142.154444444444,4969.079,5460.526
5936.864545454546,5246.475,5399.5103
6132.301666666666,4318.389,4829.832
4733.4608333333335,4166.614,4627.7505
3347.9599999999996,3356.2173,3174.814
1235.6435000000001,2600.788,3861.8408
260.231091666667,3012.195,3677.375
1594.670533333333,3160.2324,4065.0132
-1226.3407500000003,4234.2,1676.9619
523.1659166666664,3422.4858,3341.3857
1920.783583333333,3283.771,3760.2383
3036.751666666667,3855.3333,3505.8428
5657.411666666667,4684.313,4138.386
7690.873333333333,6051.415,4195.815
7506.878999999999,5623.2227,6084.698
7481.34,3970.4172,5212.922
7290.4575,4045.1672,5135.952
6982.698888888889,5139.8203,5592.9087
6504.77125,5184.9727,5823.8955
6130.585555555555,4470.0913,4972.7905
5714.958333333333,5584.4165,4680.219
5487.107272727273,4653.8057,4431.151
5247.37,4457.98,5359.5005
5109.574444444444,4718.264,5259.444
4986.5650000000005,4630.264,5481.763
5534.561,5595.746,5545.645
6664.059166666667,5871.545,5930.191
4817.093333333333,4588.786,4862.1187
2863.6233333333334,3249.3826,2732.222
1372.8129166666668,1936.5859,3117.27
-301.84852083333317,2115.1814,2544.8071
-1221.8441666666668,1668.7014,3015.215
-949.8669166666668,3839.5085,31.05518
213.03700000000072,2767.1753,2070.8967
1040.2143333333333,2308.9614,2623.9976
3770.5358333333334,3361.028,3587.0212
5067.679999999999,4978.8096,5000.8047
6786.389090909091,6646.249,5000.524
7539.234444444444,5803.868,7351.096
7461.20090909091,4592.3237,6480.2007
7244.806363636363,5323.7476,6358.814
6990.323333333334,5597.79,6915.577
6665.272222222222,6195.6865,6843.757
6179.58,5200.1006,5994.1343
5844.0599999999995,5364.3237,5709.2373
5509.175,4921.7905,5435.4785
5245.8133333333335,5137.2,5273.5894
5208.591428571429,4671.1523,5226.4707
5163.86,5001.4165,5369.237
5335.261818181818,4969.5757,5359.2305
5164.66,5109.9424,5388.26
3967.585833333333,4182.9673,4073.63
1940.3835833333333,2672.6687,1850.9497
2767.702416666667,2913.1665,2789.312
2484.2296666666666,2907.3237,2393.5583
493.97789999999986,2150.986,1561.7544
159.01700000000028,2576.2485,-323.19727
-1055.8033333333333,1708.2908,540.5691
678.5981083333331,1826.9758,1113.4443
4694.6016666666665,4271.825,4632.3296
4779.230833333334,4639.4053,4856.1914
6634.133333333334,6100.5273,6176.414
7238.114444444444,5365.0234,7521.205
7272.741,5694.858,7482.9355
7280.3090909090915,5900.4766,7406.639
6912.6618181818185,5877.979,7192.908
6534.036666666667,5933.639,6904.615
6072.82,5157.317,6237.116
5660.164285714286,5639.0923,5799.7007
5488.5375,5383.167,5531.4365
5245.4025,5071.4053,5310.668
5075.361428571428,4907.7227,5153.697
4968.76,4736.3047,5172.2246
5176.644,5138.817,5165.6553
5145.911666666667,5344.698,5204.0444
3745.3325,3891.6392,3719.6196
2172.5099999999998,2444.758,2091.6218
1640.3548333333329,2097.056,2147.741
546.8043250000001,1549.956,1557.9148
1463.1883333333335,1626.0454,1601.9014
2338.2396083333333,2625.0137,896.0051
575.6486833333333,1423.4346,522.3862
1888.8953000000001,1922.2451,1677.9023
2015.0580833333333,3184.0945,3418.3396
4811.0625,4727.4478,4855.8213
6794.174166666667,6754.73,6648.6377
7102.508333333334,6155.934,7232.3896
7274.104000000001,6530.2456,7318.643
7262.58,6830.889,7419.3506
6853.248888888888,6311.2754,6972.875
6424.347777777777,6479.826,6355.505
6022.811,5895.7944,6119.1733
5593.509999999999,5397.511,5616.424
5287.86,5188.6396,5302.5215
5117.447142857142,5048.2163,5130.9478
5043.028571428571,4896.053,5051.6514
5618.433999999999,4984.0723,5566.251
5768.016363636364,5259.5957,5729.645
6445.899166666666,5653.133,5969.801
5007.433333333333,4367.8813,4498.875
3138.191666666667,3011.822,2499.385
2043.3043333333335,2553.9524,2050.162
-453.6694333333335,1736.4338,804.9758
-16.158250000000407,1662.3433,629.9346
-2244.1100000000006,2224.9863,-245.54785
1358.3337499999998,1971.1714,872.55835
4083.85,2648.0706,2237.7532
4406.72,3758.2686,4044.4824
4777.979166666667,4629.43,4770.683
6327.508181818182,6136.199,6519.314
7429.163333333334,6088.0244,7591.1245
7405.238333333334,6516.781,7565.5073
7188.183999999999,6542.17,7372.9995
6718.089999999999,6101.56,6861.3716
6282.075555555555,6000.6333,6514.9414
5712.873333333333,5538.3687,5776.873
5402.93875,4988.006,5446.3726
5166.277777777777,5070.9414,5245.3296
4988.384,4938.633,5006.1006
4922.775,4341.3477,4982.375
4898.468,4876.0083,5237.9336
5418.741818181818,5132.557,5413.328
6259.607272727272,5584.192,6311.749
5513.328333333334,4763.7783,5167.6035
3750.111666666666,3000.5173,3094.0107
217.2481666666672,1899.0686,1063.7874
-834.7991666666667,900.8567,-255.94092
820.7464166666668,1482.9031,555.90234
-311.3497500000003,1826.3081,-582.4634
-464.9917416666667,1081.8074,-262.89404
757.1115833333333,2039.2366,1329.4143
2464.51575,3172.6313,3083.393
4563.661666666667,4713.3066,4634.7144
6626.819090909091,6133.2275,6628.7827
7617.294545454546,6376.822,7716.1655
7386.657272727272,6712.9585,7491.426
7233.98,6508.1885,7497.3433
