Actual,ANN,LSTM
294.0,636.43304,396.09952
284.0,636.75934,553.8431
288.0,529.034,736.5113
312.0,675.9717,431.66925
336.0,650.7368,458.09818
390.0,567.50195,750.31104
554.4,652.1777,642.0238
861.0,685.9386,846.6961
1084.0,783.5817,1099.9031
1339.2,795.6131,964.1717
1410.0,833.4167,900.8854
1431.0,811.2663,884.3744
1422.0,740.8908,836.9482
1401.0,758.807,794.467
1395.0,864.399,753.4688
1368.0,772.91595,1241.7462
1311.0,760.0385,769.8603
970.2857142857143,806.5917,975.3592
570.0,680.42804,574.10266
452.0,711.5817,804.82623
376.0,670.75214,474.2252
336.0,649.99634,502.79745
308.0,729.8534,407.02893
294.0,595.58636,379.35867
288.0,465.29855,240.42108
282.0,605.984,366.49103
296.0,363.61716,544.13226
309.0,457.79382,265.713
312.0,486.63586,297.51636
376.0,503.29752,555.32733
510.0,575.95746,514.09155
840.0,817.10455,844.21173
1113.0,929.14056,1177.6917
1334.4,899.4466,1193.5326
1395.0,1106.2847,1058.1743
1407.0,1052.5132,1087.0142
1443.0,926.71423,1016.6279
1413.0,896.3708,1017.09204
1425.0,1118.0665,879.88666
1400.0,785.8453,1463.1
1389.0,927.3634,924.0346
1183.2,964.6559,1140.7523
746.0,715.71564,689.8977
480.0,639.0928,683.7569
381.0,432.6501,361.69473
368.0,512.5562,358.70514
340.8,627.88464,297.85535
306.0,419.1749,247.54169
308.0,443.4168,267.4011
304.0,569.2428,292.32837
321.0,376.0941,391.16568
316.0,359.43332,280.47626
330.0,456.88556,306.94028
384.0,513.81085,402.60284
448.0,453.7689,437.27377
573.0,728.1992,688.0083
868.0,921.94336,967.7066
1101.0,821.7832,1135.8452
1074.0,1167.2839,1027.4392
1131.0,1135.8406,1126.3933
1146.0,875.056,1065.3286
1183.2,950.97986,1176.299
1140.0,1107.0078,943.0906
1068.0,858.5131,1215.3663
948.0,859.71436,908.16864
702.0,858.92175,887.4434
500.0,657.94977,550.2668
356.0,467.17,476.29147
336.0,348.15005,332.13116
312.0,377.86722,318.37177
296.0,480.1348,289.73856
284.0,340.8029,245.35764
272.0,558.7403,459.09882
268.00000000000006,548.8228,469.82382
264.0,552.61957,434.851
270.0,532.17365,479.39038
276.0,575.67615,458.97748
304.0,606.1587,463.7787
336.0,634.6672,535.93005
332.0,684.32477,732.33636
354.0,716.8924,757.37177
378.0,792.40265,891.84845
453.0,816.47687,726.11835
462.0,811.4541,804.5114
452.0,775.89655,806.01355
444.0,822.33923,920.4705
423.0,848.38794,718.22845
336.0,807.3714,738.68066
320.0,791.94635,747.3246
316.0,701.271,720.5459
330.0,646.4724,597.67126
294.0,579.9952,515.18085
294.0,601.8153,494.7704
294.0,555.9483,509.8544
294.0,579.32733,450.3766
294.0,573.3473,464.5205
288.0,423.70834,216.67053
291.0,483.4993,219.42429
294.0,353.10373,276.27322
312.0,313.2163,214.47137
324.0,432.64255,243.75735
366.0,422.15994,329.8002
537.6,509.1209,398.36697
902.0,711.26935,698.034
1170.0,888.9538,1027.7787
1329.0,946.6264,1179.3123
1407.0,1065.5376,1136.4562
1419.0,984.9898,1188.421
1408.0,979.2847,1140.4127
1392.0,946.9784,1165.6149
1260.0,1134.9146,1023.64294
1248.0,844.44556,1286.1167
1209.0,951.2426,1001.207
898.0,801.4031,905.52075
547.2,618.0043,501.24335
408.0,488.31415,418.0178
345.6,360.03256,257.4424
354.0,419.97504,232.18817
309.0,447.06186,200.95743
300.0,293.31787,210.46396
284.0,330.5334,239.25266
280.0,392.26294,240.1304
294.0,297.3941,275.27585
304.0,339.31174,251.8226
306.0,334.8958,272.83685
378.0,443.86444,357.88593
567.0,582.3993,524.0218
811.2,810.3937,801.33905
1060.8,969.44495,1085.7072
1266.0,1016.9625,1295.5411
1371.0,1225.2328,1326.3751
1380.0,1193.8379,1359.9326
1359.0,1132.2651,1336.4156
1380.0,1200.4087,1337.3578
1365.0,1236.1355,1230.416
1344.0,1044.119,1390.5481
1263.0,1156.0438,1203.3011
886.0,837.41656,901.27386
522.0,543.8391,503.77606
416.0,510.29196,393.05637
378.0,369.68982,317.93784
348.0,395.97394,288.78
315.0,394.8411,262.05438
292.0,372.49518,240.15262
294.0,325.22156,284.94266
288.0,370.09125,280.80124
294.0,309.80682,291.88257
324.0,341.79166,319.49045
328.0,342.79398,327.7884
390.0,435.28653,381.58868
561.6,587.3804,568.67615
831.0,832.03033,827.08685
1065.6,1008.9956,1063.2362
1286.4,1129.1409,1289.3702
1377.0,1276.0377,1362.5918
1392.0,1264.936,1391.9485
1404.0,1246.6399,1390.1207
1422.0,1290.9607,1421.4735
1376.0,1279.5889,1330.0514
1365.0,1178.3639,1369.461
1276.8,1204.3662,1258.3309
870.0,837.75366,860.20404
552.0,551.31354,551.6421
417.0,441.4825,406.95166
360.0,365.88745,359.80673
342.0,375.69034,344.2341
320.0,361.80893,320.85632
300.0,364.34885,289.61862
304.0,385.9489,310.13574
314.0,419.26077,315.845
324.0,397.40976,322.00568
318.0,363.94,324.58945
342.0,403.1741,344.10458
417.0,488.6284,416.14285
591.0,641.9386,594.58417
843.0,827.4818,841.4974
1071.0,966.89746,1062.5463
1286.4,1109.0647,1269.863
1320.0,1180.1973,1303.6152
1290.0,1152.051,1298.7446
1324.0,1195.9629,1321.2656
1264.0,1181.517,1308.1143
1276.0,1184.114,1264.0868
1275.0,1129.816,1274.956
1209.0,1142.6426,1208.284
801.6,765.5688,803.6999
535.2,560.0628,530.4598
396.0,447.35275,396.50357
372.0,424.09253,374.323
336.0,415.30148,338.72095
312.0,388.15634,318.01666
288.0,409.03906,294.56027
292.0,416.7864,270.7459
294.0,408.08878,273.8371
280.0,399.92877,275.74115
304.0,365.15433,284.21603
334.0,432.23975,317.14096
364.0,425.44415,358.5958
501.0,557.0578,513.14026
747.0,743.2505,761.36316
1017.6,943.3329,1049.6427
1242.0,1180.2208,1280.8043
1340.0,1176.6577,1379.3909
1348.0,1138.8104,1375.5564
1356.0,1233.4717,1385.2761
1380.0,1184.595,1379.4877
1359.0,1270.2426,1361.4896
1322.4,1155.6819,1357.01
1260.0,1159.6958,1281.8826
1094.4,924.4439,940.04803
740.0,711.8973,633.7926
486.0,482.48676,463.73077
393.0,436.93015,371.80313
366.0,443.644,344.84967
336.0,398.6815,314.8426
312.0,358.30548,289.42322
316.0,427.61258,330.53677
308.0,417.17654,325.45544
300.0,435.96634,287.62103
330.0,417.41174,347.0723
330.0,469.1702,342.76923
376.0,488.3275,372.84302
441.0,578.9073,475.54
573.6,686.7489,703.35706
818.4,823.3754,883.0503
1008.0,1007.95715,1072.5278
1068.0,1024.2756,1083.7919
1077.0,1019.99023,1123.6715
1113.0,1061.9366,1146.4165
1092.0,1067.2063,1178.934
1065.0,1052.2441,1093.4445
1044.0,1041.9526,1047.7217
960.0,992.333,1050.7347
726.0,779.9456,804.1674
468.0,631.59546,559.8727
384.0,464.4444,408.28226
360.0,490.0367,386.67636
354.0,467.37622,371.66272
306.0,428.8955,341.029
282.0,473.79166,308.66675
280.0,398.9354,405.94797
284.0,396.65887,432.63174
288.0,419.44608,341.32263
280.0,389.0038,426.72632
284.0,460.73837,388.65924
324.0,472.0946,411.0442
316.0,542.53467,558.9295
330.0,642.57605,748.41614
342.0,738.74994,742.5768
381.0,917.16046,856.5306
492.0,929.07666,717.9868
536.0,941.221,696.55273
546.0,961.14874,800.5863
516.0,984.0299,857.1443
456.0,954.2408,702.4832
393.0,965.5281,618.29785
366.0,892.62775,771.2227
330.0,708.98,722.17755
324.0,587.9792,550.51587
294.0,409.3355,446.95673
294.0,464.65872,395.30402
294.0,439.14,477.16513
300.0,407.1798,332.12198
292.0,453.00998,419.62534
288.0,236.24094,225.73663
300.0,227.60507,225.53824
294.0,216.49179,264.58932
300.0,246.72397,238.98816
320.0,306.8857,266.79694
364.0,303.99222,321.34885
477.0,425.2743,441.1917
739.2,598.3955,669.4866
1092.0,859.46423,1001.84784
1305.6,1109.5022,1231.2595
1344.0,1174.5063,1350.318
1368.0,1161.8761,1346.5099
1384.0,1188.6997,1358.1339
1395.0,1192.6128,1339.431
1359.0,1190.7012,1346.3453
1308.0,1171.6432,1333.5835
1269.0,1049.9857,1225.849
864.0,766.6851,864.07336
552.0,541.8883,531.7812
441.0,331.9143,393.6892
364.0,334.57834,302.47067
342.0,303.91547,272.76505
320.0,280.37448,261.04312
288.0,291.41647,219.0307
284.0,259.38507,282.41516
300.0,281.42807,296.41858
288.0,269.49173,287.6484
318.0,305.51352,314.98132
336.0,315.00153,335.12888
404.0,382.52795,401.7364
513.0,501.72275,514.71155
774.0,742.5625,770.268
1072.8,967.0098,1063.8488
1260.0,1178.2714,1254.952
1316.0,1274.1792,1314.9866
1324.0,1255.5967,1323.3037
1360.0,1282.2316,1357.772
1359.0,1290.6394,1354.9445
1353.0,1274.1403,1346.8939
1329.0,1216.5659,1323.6876
1242.0,1166.2015,1239.3188
884.0,881.2371,880.12665
561.0,558.4049,557.6007
423.0,411.47095,420.27182
354.0,326.10242,351.2487
340.0,324.2733,336.78503
306.0,290.3397,304.9044
304.0,296.53497,296.45984
297.0,301.8988,286.65466
288.0,297.4755,282.46634
288.0,292.79648,278.20572
312.0,314.35458,304.32114
360.0,362.72446,347.82535
417.0,415.6351,410.69208
513.0,511.0879,506.18964
788.0,786.4363,787.65216
1080.0,1066.3195,1076.1082
1224.0,1222.4307,1230.7141
1275.0,1273.2172,1279.2657
1314.0,1295.25,1313.2332
1302.0,1304.0667,1313.771
1287.0,1275.4745,1308.4882
1296.0,1297.5438,1302.0381
1314.0,1295.0609,1306.5872
1224.0,1217.9774,1223.0469
916.8,907.5718,912.8813
513.0,515.36975,507.78195
426.0,422.66013,413.07303
384.0,383.83127,374.04538
348.0,351.12036,342.1566
316.0,319.45663,309.2622
300.0,309.19492,290.50348
282.0,292.66617,247.29431
282.0,295.21454,253.72684
285.6,302.10403,273.51312
300.0,304.2468,273.21085
336.0,345.85562,311.54214
388.0,396.93338,375.92255
522.0,521.86676,516.8229
784.8,784.2484,784.6114
1074.0,1065.8545,1098.6066
1257.6,1241.6925,1285.5359
1329.0,1306.9191,1344.1964
1329.0,1304.8541,1359.7794
1329.0,1318.9878,1358.3237
1332.0,1307.2172,1365.6469
1328.0,1313.8341,1351.0697
1284.0,1271.8582,1329.4594
1203.0,1195.8794,1220.8657
885.6,881.8187,903.3441
585.0,582.13306,571.90076
416.0,416.5919,389.0325
360.0,361.55002,333.91827
354.0,357.90555,337.56735
328.0,325.3658,308.02148
294.0,300.66696,261.27127
294.0,272.13095,267.59705
291.0,271.8411,272.80142
288.0,272.18344,276.02936
309.0,295.1976,287.72693
312.0,295.42828,297.3827
356.0,337.5211,347.27832
501.6,489.77728,494.46536
812.0,812.8187,816.2501
1039.2,1063.0344,1065.6805
1291.2,1316.5848,1314.3213
1344.0,1378.081,1368.4237
1404.0,1415.0427,1417.6849
1365.0,1396.0176,1388.3251
1364.0,1382.3535,1384.2604
1359.0,1388.3773,1377.5854
1341.0,1352.2909,1365.8695
1329.0,1307.0208,1304.7257
1106.4,1011.0571,1027.0173
756.0,675.42053,679.98303
468.0,457.1738,455.12393
376.0,350.79642,361.26367
348.0,334.27625,337.42944
288.0,271.24234,275.33032
288.0,273.14734,271.49957
276.0,309.8637,270.08768
282.0,313.01392,273.87216
276.0,313.43546,249.06097
294.0,317.52048,294.33823
318.0,348.7492,299.04828
318.0,352.8279,306.21768
384.0,452.6233,429.10223
546.0,723.27185,727.48425
789.0,929.5844,884.90045
1020.0,1160.1082,1103.323
1086.0,1186.0242,1099.985
1108.0,1221.64,1168.2655
1134.0,1225.929,1168.543
1132.0,1212.1302,1205.5813
1124.0,1214.1447,1134.1224
1048.0,1192.8464,1066.1951
957.0,1143.2488,1062.6738
741.0,877.8347,843.72015
508.8,602.2071,567.0114
404.0,421.06973,389.8954
380.0,402.5152,366.21573
336.0,364.29938,326.76923
327.0,347.8839,307.78018
310.5,333.8348,285.2967
294.0,369.28625,310.81476
296.0,363.28363,341.69916
294.0,373.32834,297.00308
300.0,354.35077,321.8353
300.0,391.97043,309.71246
294.0,396.91544,324.83463
300.0,460.1334,498.21002
330.0,643.4521,694.47894
342.0,780.9429,707.1127
342.0,966.3157,824.4963
402.0,943.6227,704.9709
402.0,988.98065,629.648
426.0,1001.44604,771.0976
411.0,996.2485,821.3718
408.0,983.3369,669.537
360.0,1004.4208,589.8512
340.0,941.70294,717.1296
342.0,733.33527,697.99945
330.0,531.5552,476.88016
324.0,393.55942,366.29443
314.0,434.15164,304.831
304.0,398.7564,383.70712
312.0,392.17496,269.96396
309.0,368.35413,346.9651
306.0,360.87738,265.2127
294.0,357.19638,290.0534
300.0,374.55273,303.04388
312.0,347.72952,287.66278
324.0,392.27142,297.66104
344.0,406.2132,338.07108
420.0,466.0232,459.9064
444.0,608.96844,579.821
444.0,687.5001,588.2194
480.0,858.79956,673.7649
508.0,821.8153,581.5478
520.0,884.3012,480.28568
537.0,872.3153,649.9772
504.0,890.47205,675.5087
504.0,860.9104,523.7513
501.0,897.28064,465.83707
480.0,831.5072,575.3186
428.0,659.6904,597.88055
390.0,497.09055,368.73752
360.0,372.8643,341.30933
340.0,422.46005,295.21188
328.0,387.0532,325.20068
312.0,377.23547,263.61002
294.0,361.52765,287.24005
284.0,277.93195,239.32794
282.0,277.1006,225.94327
288.0,282.82037,280.61234
294.0,282.9263,245.92822
324.0,317.72397,288.52222
356.0,343.10098,322.54257
523.2,449.54913,413.2457
828.0,623.11224,673.7364
1089.0,739.363,928.1522
1209.0,920.97064,1155.9199
1296.0,914.2197,1257.5865
1329.0,963.9196,1290.0243
1347.0,960.5722,1275.9581
1359.0,969.7132,1250.7422
1341.0,947.17017,1291.8558
1308.0,972.40356,1267.4625
1236.0,898.14856,1152.533
956.0,693.41943,888.3788
642.0,505.00195,586.3165
450.0,378.56982,402.56885
384.0,367.9177,350.30774
356.0,340.1047,276.22144
324.0,313.99695,303.34256
294.0,287.01965,247.24124
296.0,248.50903,276.25378
288.0,244.6914,272.02356
297.0,229.21103,286.07874
312.0,278.17114,295.7252
330.0,283.06235,315.59732
360.0,313.88043,346.5848
513.0,460.4485,499.06882
786.0,686.88947,783.3908
1065.0,886.03314,1054.3602
1260.0,1093.8562,1269.6248
1332.0,1133.7347,1340.2985
1356.0,1169.8375,1371.6544
1362.0,1164.7499,1369.3469
1338.0,1160.8992,1349.3145
1305.0,1151.1489,1317.5282
1284.0,1145.406,1306.2744
1194.0,1075.6743,1198.0608
847.2,787.408,852.8176
573.0,541.48,576.6798
452.0,422.2245,439.43344
396.0,359.38705,388.8069
351.0,323.72058,343.08157
303.0,280.19983,292.67938
297.5,267.73248,284.47345
292.0,290.55582,283.29138
276.0,277.63913,267.50638
282.0,269.06833,273.49396
300.0,301.43445,290.59607
312.0,306.29797,303.32452
327.0,322.3356,318.9645
465.0,466.6694,458.31638
777.6,769.737,785.19073
1032.0,1018.0217,1044.3486
1248.0,1229.5582,1259.987
1332.0,1304.5043,1341.4382
1326.0,1306.341,1346.0077
1335.0,1316.9828,1349.4825
1320.0,1296.1383,1330.7388
1302.0,1292.0394,1306.1772
1304.0,1280.3932,1309.7732
1233.0,1219.5634,1238.4246
886.0,880.8641,892.914
588.0,588.9279,590.08716
458.4,461.09506,456.28506
384.0,381.54532,377.39975
354.0,356.82233,345.10864
304.0,304.76016,293.00394
292.0,294.20825,285.30048
296.0,302.31226,289.98312
282.0,293.7726,279.4271
288.0,297.44022,289.54572
294.0,297.03262,289.01782
306.0,311.29532,302.12314
336.0,340.35068,338.03555
506.4,502.42288,501.10214
804.0,806.9374,801.7842
1034.4,1026.3761,1032.1245
1215.0,1211.6555,1219.9719
1328.0,1309.538,1322.4924
1284.0,1277.1458,1293.986
1200.0,1247.485,1250.9988
1200.0,1222.315,1237.2238
1206.0,1231.4331,1225.0797
1239.0,1234.9843,1249.9149
1212.0,1206.9601,1207.277
1059.0,963.4321,984.21704
748.0,671.8747,688.77423
458.4,457.0212,452.62698
369.0,366.92227,366.92245
348.0,352.08792,349.00772
309.6,311.93094,310.30807
292.0,295.05557,290.27673
282.0,310.44046,287.45178
288.0,311.73492,289.24826
276.0,312.8755,280.6501
296.0,313.9992,311.74615
312.0,341.68646,313.58273
327.0,356.96045,327.26697
384.0,466.55753,434.34827
542.4,724.3312,683.4613
762.0,906.0491,815.1558
939.0,1078.4601,994.493
1002.0,1142.3358,1011.6313
1032.0,1130.0778,1036.3364
1053.0,1112.6084,1036.2778
1089.0,1107.2982,1076.0035
1068.0,1097.6271,1024.2513
1010.4,1111.8496,964.2353
873.0,1062.7325,941.94037
668.0,850.3459,766.70074
486.0,607.26776,554.7035
384.0,413.05856,394.5122
354.0,377.89648,362.48706
304.0,342.3029,321.51852
297.0,320.37762,310.6134
268.00000000000006,297.64874,275.31042
258.0,323.55783,204.40756
255.00000000000006,315.80545,196.67093
251.99999999999994,337.81216,192.75864
264.0,315.171,199.69626
258.0,355.1279,223.27847
264.0,362.9536,214.71347
270.0,454.05612,350.27124
304.0,643.35077,555.86926
336.0,761.0954,654.848
342.0,908.01025,834.81635
405.0,922.9898,729.808
444.0,936.0606,767.536
416.0,918.55615,799.70374
404.0,924.9459,964.42755
396.0,899.66754,772.04047
384.0,945.6647,719.56354
340.0,879.70593,706.4471
330.0,724.76666,581.7485
327.0,545.1587,376.92987
300.0,372.01016,259.524
300.0,384.0721,264.72617
288.0,349.2778,247.97684
294.0,331.5637,241.66837
294.0,326.5079,211.13098
288.0,268.1878,270.00464
280.0,264.52567,275.3332
288.0,268.85086,275.15515
300.0,279.52026,267.18683
312.0,293.9311,284.18985
336.0,314.22266,332.41614
475.20000000000005,429.02457,407.7834
772.0,664.47943,710.4431
984.0,811.82336,940.8493
1173.0,970.4611,1122.6573
1304.0,1019.901,1249.029
1256.0,1021.4432,1241.6611
1232.0,996.6571,1208.3154
1314.0,1006.566,1212.2219
1344.0,987.65137,1217.4777
1290.0,1013.05426,1222.3635
1240.8,955.4445,1123.4366
940.8,768.349,890.6217
594.0,547.427,601.76495
441.0,382.8574,416.2484
372.0,343.00864,349.3028
340.0,316.87524,316.85104
318.0,298.66855,289.61877
300.0,282.26306,293.24014
282.0,249.6789,260.04822
284.0,255.02933,270.39532
276.0,223.80249,264.42474
308.0,286.05743,284.44205
318.0,274.53217,301.16998
356.0,312.18753,347.05066
520.0,468.29425,488.8609
780.0,757.0551,781.4661
1054.0,987.30634,1059.0812
1312.8,1176.8882,1302.799
1332.0,1267.6359,1371.4916
1386.0,1261.2648,1406.9131
1384.0,1223.9292,1379.105
1404.0,1229.1068,1382.7692
1412.0,1221.9408,1387.9479
1356.0,1208.4409,1386.6469
1308.0,1176.0654,1272.0995
908.0,891.34955,931.66473
618.0,611.9335,623.5581
465.0,447.3146,456.7572
381.0,346.48392,374.68195
356.0,329.00064,349.04303
312.0,293.81165,296.18365
306.0,287.86023,294.72244
300.0,309.79556,304.11142
294.0,306.1064,299.63818
294.0,293.6197,302.4559
308.0,314.05896,312.75516
312.0,322.87378,317.4256
356.0,363.29257,364.8068
482.4,489.02795,486.64435
822.0,815.4702,811.3513
1068.0,1054.338,1049.2479
1287.0,1267.2806,1263.3914
1353.6,1336.5377,1326.7314
1384.0,1349.9326,1357.1041
1395.0,1357.5642,1369.1316
1386.0,1346.0962,1365.6827
1395.0,1356.5339,1369.8723
1380.0,1335.4491,1348.2435
1292.0,1271.5516,1265.16
978.0,958.9911,964.53375
606.0,608.7535,601.41016
452.0,454.3948,443.83862
380.0,385.71826,379.5995
356.0,366.259,363.11804
336.0,341.06628,347.28625
300.0,311.90536,300.68927
297.0,319.4995,283.81458
291.0,315.9659,283.04263
294.0,316.4609,292.3886
300.0,312.5618,288.75937
324.0,342.41876,315.0184
378.0,394.95358,375.52893
592.8,572.63525,570.59326
852.0,845.31476,855.5908
1116.0,1089.9268,1115.495
1299.0,1271.5293,1311.5365
1372.0,1337.0374,1374.9164
1374.0,1336.6902,1388.2653
1392.0,1364.1846,1406.2334
1392.0,1353.8942,1409.2106
1398.0,1365.0713,1406.7231
1380.0,1342.9778,1389.0472
1272.0,1252.0873,1275.3148
913.7142857142857,900.06506,932.36957
576.0,581.8619,579.7152
420.0,428.347,413.37125
372.0,385.9554,365.68152
356.0,372.9504,354.20508
312.0,327.60522,308.4577
306.0,322.59213,297.62537
300.0,308.24167,290.10327
297.0,307.4771,290.17853
308.0,318.8981,308.89297
330.0,330.6679,321.86603
320.0,326.8815,313.74527
360.0,366.40253,358.53235
549.0,548.05176,552.51324
820.8,821.1088,825.7265
1107.0,1096.6779,1125.603
1296.0,1285.2513,1320.5724
1329.0,1323.5814,1364.5812
1368.0,1347.9546,1394.0156
1352.0,1351.7802,1386.258
1364.0,1347.9713,1388.8336
1380.0,1371.1824,1405.9537
1365.6,1348.7402,1395.8677
1312.0,1292.5123,1322.2201
1093.7142857142858,1004.2425,1057.754
679.2,663.0131,678.8224
453.0,447.12067,450.9738
402.0,401.67584,396.92136
372.0,374.85577,369.41132
340.0,342.19556,333.7852
306.0,311.45892,300.76752
294.0,310.60593,310.2747
300.0,313.77106,311.82425
300.0,320.58932,312.48975
312.0,319.99515,338.69458
336.0,350.27197,346.4226
372.0,380.44843,375.49527
452.0,495.7097,481.70645
614.4,732.328,685.06006
855.0,968.3117,866.78046
1062.0,1151.2916,1049.4554
1160.0,1184.3594,1079.8259
1161.6,1207.8855,1107.5635
1196.0,1220.2388,1131.0038
1170.0,1213.3065,1140.8746
1172.0,1226.9746,1126.6522
1074.0,1209.6516,1034.9047
909.0,1137.713,993.27655
690.0,884.4154,801.0143
500.0,590.0772,545.7635
408.0,406.46484,418.16895
396.0,404.6573,407.64273
360.0,369.0596,372.37192
324.0,336.12515,344.53894
300.0,312.85547,314.2591
304.0,337.2486,297.29047
294.0,327.121,299.00824
292.0,346.94598,299.58215
300.0,325.8324,311.2843
306.0,359.00565,311.27963
296.0,372.48398,331.17825
312.0,468.09317,418.5683
342.0,651.93115,533.36035
369.0,819.34576,581.9882
396.0,977.10657,677.0833
392.0,971.01025,684.7592
412.0,1005.99725,643.37915
411.0,1018.83093,745.637
396.0,1018.08484,760.7185
426.0,1014.95105,688.5745
412.0,1031.2728,597.00116
344.0,953.1011,607.9043
318.0,761.4418,561.01575
330.0,532.13367,380.4243
308.0,366.9411,346.71188
300.0,392.8219,322.8099
308.0,360.54416,326.17514
306.0,337.01062,285.24945
304.0,327.76398,310.35965
312.0,291.76794,272.06396
294.0,276.35315,268.1088
312.0,288.45813,301.74176
318.0,300.82245,281.00766
312.0,294.08835,290.23083
352.0,330.4308,338.1386
531.0,466.56384,498.32086
907.2,691.794,769.1809
1171.2,891.9255,1112.0913
1332.0,1056.4618,1325.0103
1401.0,1077.2397,1422.6344
1428.0,1103.3884,1438.3885
1434.0,1115.9136,1439.4854
1443.0,1111.3091,1411.0015
1428.0,1118.2073,1444.7339
1440.0,1116.722,1434.3077
1374.0,1041.9481,1284.4899
1010.4,816.6653,997.85614
648.0,555.0759,627.1776
462.0,392.2637,429.99442
416.0,377.58783,385.51202
372.0,347.1482,351.51675
328.0,310.6264,296.50754
306.0,290.30588,280.10995
304.0,284.72653,297.4599
294.0,279.85056,291.61743
318.0,283.77542,324.90762
330.0,314.24643,326.94415
324.0,288.02933,322.7461
384.0,350.86325,386.99374
586.0,529.5857,586.7844
906.0,819.46545,879.2525
1132.8,1091.4957,1136.8334
1347.0,1279.296,1353.826
1432.0,1365.946,1444.2556
1468.0,1367.0018,1475.3835
1458.0,1378.7551,1466.3918
1476.0,1368.5492,1476.8208
1492.0,1400.46,1497.845
1449.0,1358.162,1463.2195
1392.0,1291.9227,1379.5297
1044.0,999.6174,1044.5376
636.0,627.3724,639.99023
460.0,450.1206,453.53046
432.0,403.54083,430.8147
390.0,368.60266,397.9902
360.0,333.92053,362.36328
318.0,301.3043,315.55023
318.0,316.25815,314.6263
320.0,322.22208,317.30524
330.0,323.97464,330.02527
342.0,338.44693,342.01392
352.0,351.373,352.3365
372.0,367.6473,369.10022
602.0,602.7252,610.77423
871.2,870.2022,878.34534
1131.0,1127.2717,1145.9435
1338.0,1344.5754,1355.479
1404.0,1406.0337,1429.6259
1448.0,1440.0583,1469.4904
1432.0,1437.0939,1454.5707
1455.0,1445.9434,1474.719
1460.0,1466.1339,1487.817
1443.0,1434.3813,1465.6143
1389.0,1385.1393,1403.8263
985.7142857142857,976.80194,1000.1843
645.0,647.96936,647.5386
480.0,469.43097,482.12817
404.0,400.6235,402.3612
392.0,394.6196,391.12152
356.0,360.0483,352.61676
336.4,341.35635,333.5749
316.8,325.59586,305.7953
312.0,326.02054,304.62766
333.0,347.53046,332.9344
354.0,354.65247,346.97177
342.0,353.0313,335.54868
400.0,411.5302,396.59213
638.4,634.51654,645.0339
876.0,880.6844,882.80054
1137.6,1115.659,1149.465
1338.0,1318.0358,1354.3687
1359.0,1345.1459,1382.356
1395.0,1381.1766,1421.4238
