Actual,ANN,LSTM
1763.8,1576.2634,1701.0154
1681.8333333333333,1447.0474,1672.2095
1627.0,1583.7468,1456.7385
1585.75,1551.8408,1583.998
1604.8,1473.4316,1486.3784
1722.142857142857,1569.6782,1695.0549
1842.3,1551.4165,1770.2539
1623.6666666666667,1468.1182,1514.3911
1140.5,1355.5171,1431.0889
738.0,1368.3724,1155.0143
670.5833333333334,1387.8276,1151.9594
609.5833333333334,1320.1722,1151.1975
724.4999999999999,1444.0527,1168.5178
808.4166666666666,1389.5167,1029.831
895.6363636363636,1431.5006,1185.0197
1127.75,1334.4506,1405.3417
1525.8,1560.0104,1511.5417
1852.9,1536.8168,1657.097
2178.125,1496.1885,1538.8138
2270.1428571428573,1528.4218,1637.9635
2252.3333333333335,1498.5785,1556.9629
2149.0,1457.9058,1582.3566
2011.375,1508.9032,1907.114
1866.5,1471.8976,1639.7201
1758.375,1608.3369,1776.9646
1676.8,1637.7238,1694.1348
1610.0,1553.3295,1569.5621
1581.3333333333333,1543.3496,1586.35
1606.5,1587.8245,1589.2382
1721.5,1550.762,1738.2871
1808.125,1656.0504,1841.547
1498.3636363636363,1529.7118,1495.5425
1137.7272727272727,1374.9097,1271.9218
765.0,1317.5209,960.0518
701.9166666666666,1303.7498,926.4555
466.9230769230769,1324.1947,909.9336
786.75,1368.8632,963.2691
631.3636363636364,1302.703,774.62494
1030.923076923077,1306.2532,1015.7869
1263.4166666666667,1322.6914,1296.7382
1475.6363636363637,1510.3708,1474.0065
1791.7272727272727,1624.8691,1800.8179
2170.7,1625.8955,1723.865
2228.8,1604.8995,1821.0947
2229.777777777778,1664.2328,1718.5215
2140.6666666666665,1561.8086,1790.8121
2018.4,1635.3875,2060.9775
1883.75,1622.4393,1821.2081
1768.0,1743.0763,1785.4839
1688.6,1719.0612,1706.6111
1631.5,1633.1299,1624.2706
1592.75,1606.5454,1602.1202
1592.5,1606.2251,1603.1931
1618.75,1624.1235,1626.0745
1657.142857142857,1699.9471,1706.5996
1509.7272727272727,1514.4541,1506.7064
1271.5833333333333,1284.5071,1255.3668
1392.5454545454545,1325.8655,1124.0764
1003.1818181818181,1128.1523,955.045
736.75,1158.5975,749.9752
714.0833333333334,1248.3553,784.3221
554.3333333333335,1110.1744,571.98486
1012.7272727272727,1132.2906,980.35864
1205.3,1181.2261,1200.4454
1473.0,1487.2808,1465.9624
1795.25,1785.5282,1815.4285
2144.8571428571427,1788.992,1922.3103
2180.1666666666665,1751.2522,2015.454
2139.4285714285716,1864.3884,1902.2161
2027.857142857143,1673.5989,1984.2206
1951.0,1810.902,2000.7058
1810.142857142857,1764.3011,1841.3298
1693.5,1712.953,1711.2932
1616.0,1672.3877,1631.7147
1556.5,1568.6012,1543.6725
1509.25,1524.6621,1517.2218
1520.25,1535.1874,1525.5754
1561.3333333333333,1572.2933,1568.5516
1630.7142857142858,1671.059,1648.3738
1479.909090909091,1482.5209,1471.827
1152.4166666666667,1149.3434,1123.0481
1214.75,1216.4971,1194.8082
1089.25,1063.0354,1042.4169
1091.25,1072.497,946.441
1234.5833333333333,1226.58,1030.6611
760.5833333333334,888.3577,687.14343
963.25,960.27264,931.6924
1139.5833333333333,1120.1381,1121.6361
1498.090909090909,1502.4957,1500.533
1835.4444444444443,1857.5641,1860.4764
2176.7,2003.6185,2068.1973
2211.25,1951.8909,2158.786
2150.8,2099.6746,2040.3763
2037.0,1841.923,2073.8484
1947.5,1964.1764,1984.6796
1806.2,1823.188,1843.217
1689.75,1707.0188,1693.1292
1616.3333333333333,1626.0433,1618.3846
1558.0,1549.1167,1551.3751
1539.0,1536.9805,1536.0593
1546.2,1541.462,1546.7367
1664.4285714285713,1654.5554,1653.3989
1827.2,1772.4338,1762.2599
1691.0,1584.1525,1587.8187
1215.6666666666667,1189.0885,1196.6969
1202.1666666666667,1200.767,1203.4148
697.1666666666666,849.088,947.7823
755.0833333333334,930.725,877.1476
1002.5,1120.162,1020.88165
1301.090909090909,982.8401,858.6277
1275.3636363636363,1074.6045,1085.2223
1393.8333333333333,1206.6809,1261.5494
1438.9166666666667,1451.1411,1426.7036
1823.6,1857.6134,1834.0099
2217.6,2121.2822,2148.0894
2257.0,2107.7344,2214.9456
2238.1111111111113,2231.1987,2107.0364
2124.6,1942.2568,2137.0718
1962.0,1978.8152,1979.9879
1798.2857142857142,1805.6337,1820.719
1696.2,1699.7253,1702.6055
1603.6,1622.4877,1604.1571
1532.3333333333333,1532.0497,1529.2954
1518.0,1517.9275,1521.3228
1609.2,1612.7433,1613.4125
1772.3333333333333,1742.7263,1769.6299
2071.5555555555557,1946.3182,1942.5164
1846.142857142857,1697.6567,1714.7131
1476.75,1264.3536,1295.8861
740.75,1049.3706,992.9545
646.3333333333334,699.58966,738.133
824.5833333333334,827.0949,772.0715
736.0,982.02386,804.4439
547.4166666666666,800.7289,632.59436
704.9166666666666,894.21606,877.2386
1001.4166666666665,1079.3556,1097.2344
1441.5,1449.9955,1442.4818
1828.5,1855.9878,1845.3434
