Actual,ANN,LSTM
14.333333333333334,15.170378,15.326518
13.333333333333334,14.668927,14.452224
13.5,14.789363,14.262711
13.666666666666668,14.877572,15.671739
13.833333333333334,15.252982,15.262767
14.0,15.661935,14.7231
15.5,15.476483,15.318564
15.75,15.947522,15.450363
15.0,15.465831,14.752651
12.5,14.869484,15.260206
13.5,15.206058,15.140314
12.25,14.843969,14.867128
12.75,14.951112,15.423443
15.2,15.49567,15.154785
12.0,15.194491,14.990176
19.75,16.062082,16.371002
20.0,16.048935,16.191021
19.5,16.303179,16.324816
19.0,16.354942,16.306005
17.333333333333332,16.170368,16.789309
16.0,15.934897,16.05458
16.0,15.793147,16.065168
16.0,15.612104,15.813077
14.5,15.490474,14.683308
14.666666666666666,14.911736,14.826058
13.5,13.419729,13.427303
13.333333333333334,13.167699,13.13001
13.166666666666666,13.82467,15.311732
13.0,15.073367,14.43234
13.666666666666666,16.039446,13.868159
15.5,14.953104,15.271638
15.0,16.658033,14.869457
15.5,15.273943,14.835751
12.75,12.695975,14.515142
12.041666666666668,14.111853,14.195544
11.333333333333334,13.911492,14.044482
13.0,13.603279,15.007916
12.333333333333334,14.553521,14.023771
13.666666666666666,14.829457,14.2951975
17.0,16.693323,16.826532
20.0,17.507761,17.04117
20.5,17.999937,17.168428
18.5,18.238527,17.303955
16.5,16.44489,16.843138
16.5,16.444992,16.572725
15.0,15.040664,15.610011
15.5,15.433362,15.480355
14.666666666666666,14.694787,14.394853
14.5,14.547477,14.394776
13.75,13.548561,12.8958645
13.0,12.299442,12.064403
12.333333333333334,12.703099,14.659001
11.5,13.647438,13.035185
11.5,15.302059,12.1689415
12.5,13.6493635,13.691945
10.0,15.59455,13.156983
7.25,14.431765,13.060332
9.75,10.666713,13.14524
6.25,13.021502,12.566827
3.75,13.035212,12.494284
6.5,11.005295,14.005543
5.25,12.463539,12.161318
5.5,13.39596,12.772292
11.0,15.382761,16.248745
10.25,15.790241,16.568176
13.5,17.652905,16.81325
14.0,17.407827,17.20719
13.75,15.539706,16.561275
14.0,14.463554,16.084785
13.333333333333334,14.198787,14.85296
13.0,14.5788355,14.393311
13.0,13.653316,12.887956
13.0,13.524967,13.114917
12.0,12.685326,11.340929
11.333333333333334,11.0346365,10.598478
11.666666666666666,12.02034,13.618557
11.5,11.802066,11.411698
11.5,14.244822,10.734022
11.333333333333334,12.272236,11.859213
10.0,13.802045,10.909774
4.666666666666666,11.043919,10.62307
1.75,6.1466904,11.0439415
3.5,10.020208,10.128168
2.25,10.420053,10.360565
1.0000000000000018,5.1653786,12.133781
2.6000000000000014,7.5099363,9.576228
6.5,9.816551,10.818602
9.75,13.296794,15.371725
9.666666666666666,13.034632,15.313153
13.0,17.375956,15.889213
13.5,16.817316,16.59959
13.333333333333334,14.475055,15.756304
13.5,13.665683,15.219598
13.5,13.927514,13.780757
13.666666666666666,14.160454,13.54618
13.25,13.560198,12.818067
12.5,13.566371,13.887495
12.0,13.289625,13.774374
11.5,13.296824,13.853243
12.5,13.19728,13.921217
12.5,13.638093,13.4233055
13.5,14.436889,13.795648
15.0,15.083252,14.732611
16.0,14.864966,14.366481
16.0,14.091327,14.185158
13.25,12.616789,13.336665
12.0,12.782741,12.7776985
12.75,12.180732,13.265046
13.25,12.31335,13.360184
18.25,13.561011,13.512123
18.25,13.360465,13.864622
20.0,15.504513,15.716762
19.25,15.559167,15.416285
19.666666666666668,16.629005,15.784543
18.0,16.968157,16.137453
16.333333333333332,16.00941,15.234569
15.0,16.024717,14.950486
15.5,15.485416,14.869286
15.666666666666666,14.775702,15.131912
