Actual,ANN,LSTM
2986.6,2624.6318,2759.6226
2930.5,2770.5386,2947.6592
2737.75,2999.0496,2797.4304
2725.6,2939.2927,2820.9102
2753.0,3013.7922,2345.4438
2875.25,2758.2424,2660.8186
3074.0,3038.6736,3105.6404
2524.75,2214.7214,2521.0088
1474.0,2075.4392,2135.777
381.25,2332.6987,2296.897
53.75,1977.5728,1919.5142
513.25,1559.7963,2371.4385
35.5,2663.91,2525.6396
553.25,2022.7816,2010.9769
1002.2500000000002,2159.4236,1978.4073
1927.0,2449.1138,2257.819
3180.0,2964.297,2497.8677
3813.2,2635.3992,2912.6533
3898.75,2827.2588,2819.9934
3789.75,2857.5098,2683.636
3675.25,2722.0518,2561.8047
3515.5,2637.725,2768.4346
3380.25,2516.1047,3009.665
3261.0,2469.6423,2860.2004
3137.6,3066.376,3043.3906
3070.5,2925.3862,3116.1396
2985.25,3253.271,3073.9429
2933.0,3100.2913,2974.1467
2917.5,3296.783,2591.0488
3005.0,2973.2974,2906.3254
3163.5,3304.5774,3285.1663
2689.25,2255.9214,2674.5188
1832.25,1860.8707,1813.1965
973.0,1715.1423,1880.4191
397.0,1046.2026,1337.6775
39.75,313.8014,1957.3743
359.4000000000001,2570.803,2220.4268
432.25,1142.5667,1484.7247
1383.25,1440.1807,1421.7639
2843.75,2564.0857,2479.317
3277.0,3229.8364,2580.361
3986.0,2948.818,3513.7146
4007.5,3562.219,3181.1362
3830.5,3183.91,3061.7434
3677.5,3256.0452,2919.5322
3471.0,2814.828,3005.444
3334.75,2821.4062,3274.1328
3199.75,2805.4802,3134.0588
3127.8,2931.0225,3178.971
3016.75,2801.3599,3069.3374
2934.5,2927.095,3012.014
2806.75,2855.5037,2848.6606
2789.25,2750.8306,2769.7012
2887.0,2812.2964,2915.8496
2796.25,2803.5442,3074.5706
1859.25,2187.3901,2230.74
919.7499999999998,1762.9338,1200.9376
1187.5,1872.6229,1358.4735
472.25,1303.3156,633.4678
-271.74999999999955,740.0183,1388.0643
-347.0,2031.822,1744.3303
-739.5,1129.0098,745.23914
156.5,1457.7024,649.87427
2284.25,2526.364,2256.9001
2449.25,2625.2476,2418.444
3212.25,2965.6826,3534.2136
3400.6666666666665,3150.6782,3467.5227
3433.5,3019.383,3448.4077
3356.5,3074.7478,3281.5933
3243.5,2940.7378,3282.856
3063.75,2862.089,3163.128
2936.25,2905.242,2993.796
2842.8,3012.3804,2828.745
2753.5,2795.3083,2767.0166
2700.25,3044.8323,2714.2468
2588.0,2727.3237,2577.323
2594.5,2705.6648,2565.4456
2743.0,2733.6313,2739.874
2661.75,2788.8284,2836.633
1776.8,1800.7238,1812.2275
288.25,845.99365,456.08777
-496.74999999999955,699.6666,579.0631
-271.5999999999999,178.8241,-309.3141
-142.25,-400.09363,723.38403
788.75,1407.669,1178.1343
-793.25,-118.632195,-103.44958
-478.5,273.91345,-276.89148
276.0,1918.6102,1582.9077
1995.8,2317.024,1951.3412
3096.75,3115.1177,3385.327
3407.0,3420.8904,3520.4607
3419.0,3338.662,3490.1501
3209.25,3083.697,3231.9053
3153.6666666666665,2857.875,3166.1443
3052.0,2963.167,3097.9775
2933.25,2947.469,2953.6516
2918.25,2863.202,2860.234
2784.0,2686.306,2731.2405
2767.5,2753.3428,2715.3782
2722.75,2640.562,2667.6292
2722.0,2568.964,2756.7488
2852.25,2749.2703,2827.7224
3155.5,2779.9075,2783.792
3176.0,2510.3552,2276.0889
2711.75,1919.721,1556.6323
1180.75,1721.517,1431.4117
699.25,1545.6292,1055.8727
-146.5,1306.272,1314.2047
638.4999999999998,1815.199,1599.195
1271.5,1507.517,1168.5171
3019.5,1762.0366,1159.9789
3085.2,2370.7024,2157.8894
2737.25,2509.4182,2445.6929
3740.75,3062.1345,3169.089
3999.5,3070.3096,3302.1157
3897.25,3117.1868,3329.0667
3723.25,2995.361,3195.5579
3584.5,2897.9846,3135.6926
3406.0,3035.61,2995.0947
3156.25,2924.001,2955.152
3114.75,3104.2156,3075.4824
3081.75,3014.8481,3038.2139
2950.5,2968.6184,2921.4846
2888.75,2842.4436,2865.1328
2935.0,2882.2397,2941.3276
3005.0,2947.1526,2995.0754
3279.25,3222.502,3198.9578
3502.75,2903.9014,2568.3826
2858.75,1989.9647,1715.6863
1055.25,1145.8927,1133.5624
697.0,937.68665,733.2388
-92.0,337.14075,768.603
927.5,1199.9121,1190.698
1262.75,1137.797,1128.4132
1325.25,1279.6836,1013.2031
2242.75,2251.7268,2162.0696
3516.25,3054.704,2722.3113
3863.5,3569.0488,3623.9578
4062.5,3763.089,3803.4934
3950.25,3659.7979,3754.028
3813.25,3549.9905,3609.3567
3697.3333333333335,3453.0566,3506.9768
3477.75,3368.4656,3357.8452
3268.75,3241.7139,3233.8826
3211.0,3129.7358,3189.727
3072.0,2954.3005,3063.0444
2916.25,2819.2188,2912.1956
2931.0,2922.639,2925.681
2921.0,2868.527,2933.3835
3075.5,3048.7456,3067.8015
3423.5,3212.1584,3362.45
3262.25,3128.2622,2842.2002
2340.25,2307.1013,2057.9844
2268.4,1733.9229,1597.0476
1441.5,1412.0197,1205.4078
582.2499999999998,805.70703,760.78394
409.5,1161.2986,968.8976
1268.75,1406.5852,1287.3269
1458.5,1570.4708,1356.3971
2490.0,2330.8965,2444.464
3181.75,2998.5933,2944.9001
3812.75,3563.094,3759.8086
4049.5,3742.8572,3934.9482
3931.25,3609.0862,3872.1228
3779.5,3557.5918,3746.6003
3584.75,3543.1792,3545.6052
3362.0,3367.6162,3332.3054
3173.0,3120.1318,3162.889
3055.25,3055.7158,3028.4585
2976.25,2940.8418,2941.989
2885.5,2820.4385,2859.608
2866.5,2819.483,2833.71
2893.25,2788.894,2892.2761
3060.5,2938.6147,3034.8232
3273.75,3087.4685,3170.1238
3197.25,3098.4893,2888.0364
2618.5,2417.5803,2361.1013
2257.5,2020.3293,2006.6659
1734.75,1749.3992,1730.2388
2724.25,1595.6007,1510.3115
777.2,1508.8605,1356.7142
3002.25,1952.9926,1928.246
1570.25,1767.18,1782.15
2446.0,2444.685,2447.035
2945.75,2887.4468,2915.7036
3883.75,3448.0786,3472.9463
3852.25,3523.7468,3620.6797
3773.75,3480.6572,3605.7744
3629.25,3353.9834,3504.1326
3519.25,3338.6013,3365.0884
3361.25,3273.1543,3202.5603
3103.75,2996.5051,3055.4397
3008.8,3028.0024,3028.3408
2950.75,2987.4895,2973.7754
2888.0,2889.9038,2897.5369
2855.0,2835.1184,2870.7402
2874.0,2859.5757,2872.4531
3003.25,2984.7444,3017.9832
3321.25,3236.3032,3339.0918
3490.25,3294.7336,3048.593
2245.25,2280.3896,2259.0107
1813.6,1874.3652,1834.8434
2310.0,1842.8585,1696.5353
535.75,1306.2384,1191.0096
2029.0,1550.8767,1335.6041
1549.5,1772.4417,1686.7236
1436.0,1575.9526,1475.5913
2490.5,2495.6968,2481.5647
3703.25,3152.7717,3108.8018
3779.75,3632.3186,3702.3735
3764.0,3690.7825,3800.9534
3608.2,3601.2769,3663.1423
3493.25,3463.4507,3543.1694
3329.5,3348.5276,3403.8127
3146.75,3225.8418,3219.8247
3055.25,3049.5422,3082.2454
2966.25,2989.515,3154.6323
2936.75,2923.7383,3130.1768
2827.25,2932.8765,2993.6255
2777.25,3010.9043,2993.0676
2716.5,2943.51,2688.2944
2733.6,3023.431,2980.5496
2779.0,3426.8362,3763.3638
2179.5,3375.544,3082.648
1694.25,2015.1685,1599.6969
1097.2499999999998,1289.039,924.90796
-127.5,944.00525,440.55164
-1071.7999999999997,-236.53674,-400.42322
-709.7499999999995,437.3739,-24.571896
-897.75,759.306,336.36414
-502.75,456.42126,-78.54626
520.0,2050.0315,2095.9395
1931.25,3204.6638,3086.7004
3183.0,3954.6587,4503.346
3469.5,4136.8667,4501.462
3451.25,3819.7827,4203.735
3394.0,3843.5176,3989.5256
3278.25,3612.2056,3744.924
3117.75,3278.6274,3485.6738
3001.0,3257.6775,3220.82
2901.6,2879.9705,3014.132
2799.75,2815.4648,2806.7651
2727.0,2733.345,2745.3904
2687.75,2725.8079,2751.086
2679.25,2666.4258,2698.1057
2805.75,2802.1936,2814.0251
2791.0,2972.745,3090.5767
1965.5,2800.4106,2487.1406
978.5,1472.7933,1117.4652
-119.25000000000045,880.0652,416.08948
-589.75,576.9166,66.3014
-1013.7499999999995,-88.282585,-831.25134
-426.75,396.3241,-305.15393
31.0,703.8257,11.288213
1252.0,1072.2006,438.8058
2426.2,2406.0237,2407.361
2232.5,2717.9387,2712.0112
3192.5,3454.3037,3990.3623
3415.5,3506.9807,3887.696
3398.5,3532.8967,3739.807
3219.5,3393.26,3545.2444
3146.6,3194.1655,3359.7063
3041.5,3009.7139,3099.7095
2859.5,2930.4565,2881.2065
2832.6,2837.4297,2826.2573
2728.5,2745.2634,2732.9636
2652.25,2641.0427,2644.6694
2638.75,2650.4329,2637.6948
2582.5,2593.5076,2579.0266
2801.25,2796.0723,2792.4417
3104.25,3038.5776,3080.198
2638.5,2784.6548,2607.409
2194.5,1715.8328,1691.6515
1247.75,1128.2062,1077.0739
265.5999999999999,680.61804,626.9005
-110.0,188.39832,43.23743
376.25,608.1183,429.0548
880.0,909.5692,817.8329
2189.0,1368.5731,1211.524
3156.75,2621.5696,2628.7935
3368.4,2907.6467,2885.3904
3817.25,3564.8765,3658.7415
3997.5,3705.725,3750.1833
3909.0,3690.5542,3660.4072
3729.0,3467.1348,3458.8147
3578.5,3367.9805,3385.0518
3360.5,3257.1943,3202.6807
3126.5,2940.5408,3003.5952
3043.0,2997.5557,2862.9338
2976.5,2955.5566,2808.896
2864.0,2764.355,2724.3838
2854.5,2737.9336,2698.663
2845.6666666666665,2785.8066,2751.6147
3068.5,3004.6904,2908.8606
3342.0,3180.3027,3093.3228
3498.25,2974.547,2808.1082
2247.5,1964.2849,2062.9893
1922.0,1417.4628,1634.5547
705.4999999999998,886.6992,1118.894
1274.0,718.0383,905.31604
1860.8,1039.2993,1121.6858
993.75,1081.0385,1318.6239
2572.5,1757.0676,1792.4283
2069.25,2414.3442,2472.985
3337.0,3084.4233,2965.0469
3823.0,3640.4111,3457.8281
3988.5,3754.5173,3594.867
3829.25,3727.3652,3524.387
3672.0,3533.1067,3354.3247
3502.25,3421.9377,3293.9263
3365.75,3309.9585,3169.302
3133.5,3063.126,3000.6504
3020.4,3027.4402,2966.436
2942.25,2938.7495,2900.7832
2859.75,2842.3423,2828.937
2821.5,2763.2378,2762.9233
2849.5,2847.9531,2854.437
3061.5,3053.275,3049.1504
3280.6666666666665,3237.807,3164.9531
3029.25,2995.1929,2930.7131
2843.25,2435.3665,2430.8418
2448.75,1903.6982,2041.73
1993.75,1612.6373,1601.1769
2111.0,1499.1173,1454.4337
2760.25,1669.0914,1581.9065
1199.5,1292.5344,1437.4998
2084.25,2093.4897,2087.7344
2145.25,2221.8035,2279.8647
2980.75,2976.078,2978.6597
3911.8,3751.906,3496.6748
4029.25,3809.0166,3638.2476
3886.75,3745.4822,3577.178
3683.0,3587.5464,3450.9116
3470.0,3404.862,3341.063
3280.25,3264.2507,3231.455
3077.25,3074.7715,3062.7808
2991.25,2996.4438,3016.513
2888.5,2888.3684,2910.1023
2853.0,2863.8472,2855.5798
2829.25,2850.9648,2841.4524
2837.3333333333335,2844.6006,2830.1636
2913.5,2930.6267,2982.773
3284.25,3314.0322,3343.0344
3414.0,3260.2114,3149.1938
2148.0,2295.51,2246.3257
1954.5,1878.204,1892.9769
1166.5,1311.2861,1181.1034
927.2500000000002,1146.0742,1030.2648
718.5,1391.0173,1202.526
830.5,934.8307,919.281
1852.25,1856.4626,1809.89
1965.25,2007.8091,2060.3638
2937.0,2938.4844,2934.6719
3810.75,3854.2815,3825.9143
3916.75,3988.751,3949.21
3846.25,3905.1616,3863.5354
3700.0,3740.6287,3699.8408
3656.25,3664.7432,3624.2444
3470.75,3482.5898,3482.8064
3279.0,3242.188,3272.8052
3231.0,3163.4463,3149.8083
3095.25,3040.6729,3067.7083
3055.75,3061.144,3044.4373
2905.5,2916.0366,2910.2527
3069.0,3001.0852,3012.8113
3130.5,3084.321,3100.822
3338.0,3354.189,3362.2917
3209.5,3222.998,3200.593
2092.25,2169.0742,2121.9644
1675.75,1735.2327,1731.2842
1737.25,1490.9097,1418.3312
1121.25,1092.5573,1063.6108
747.25,1180.6353,1038.8689
1334.0,1138.4822,1117.5857
1197.5,1580.5858,1600.5117
2392.25,2242.346,2272.7412
3222.5,3125.3481,3090.7627
3646.25,3705.5945,3727.068
3842.5,3887.569,3883.4146
3783.2,3798.8574,3819.1018
3631.0,3642.279,3679.202
3601.5,3616.1367,3607.8496
3437.0,3431.9756,3443.72
3378.25,3367.738,3371.1514
3094.75,3123.1526,3497.6682
3109.75,3097.3315,3289.5088
3043.5,3126.241,3182.973
3055.75,3169.2563,3212.4014
2828.75,2972.2505,2876.1235
2740.6,2948.0098,3110.8105
2774.25,3319.758,3484.2163
2606.75,3114.6458,3181.4983
2243.0,2125.1658,1886.2334
1570.75,1488.6995,1199.7278
-23.0,871.2677,53.6637
-510.4000000000001,318.20618,-521.00916
-487.25,569.569,-339.37708
-1345.0,425.96912,-701.1044
-633.5000000000005,953.8767,312.4535
551.4999999999998,1889.2141,1734.4004
1865.0,2977.7375,3067.148
3022.75,3716.1848,4292.784
3514.0,3942.4854,4371.499
