Actual,ANN,LSTM
195.3,316.05624,349.42532
198.9,345.99924,358.9527
187.2,297.37662,355.55823
195.3,312.35974,304.6791
219.6,412.5129,319.96576
238.5,303.7615,316.4466
282.6,357.96317,360.14075
397.8,379.25748,399.81934
535.1999999999999,380.31897,428.91013
657.9,428.81653,397.5658
693.0,478.75928,415.56744
673.1999999999999,518.8362,418.18756
676.8000000000001,363.0498,428.01642
672.3,501.83664,476.9668
695.6999999999999,453.7519,420.52466
686.7,470.10068,450.96658
619.2,371.6287,399.68576
478.8,388.49533,379.34592
371.7,402.42557,369.26813
296.40000000000003,310.09076,348.23746
257.4,299.14325,365.2767
235.8,458.78928,335.09192
218.4,358.73364,431.6206
212.4,370.48538,312.40924
210.95999999999998,276.8998,272.84833
213.6,303.1718,295.05014
208.79999999999998,230.81053,297.4686
209.7,276.14453,216.12234
236.7,405.62256,224.52704
246.6,253.63614,233.36795
287.1,342.59348,309.30984
393.3,358.48593,395.4115
531.0,401.74954,497.20294
653.4,512.15643,443.44287
654.3,567.8282,482.30997
688.5,598.81476,485.54547
676.8,389.2495,494.92395
684.0,593.4705,584.70166
693.6,529.1682,504.0893
674.1,572.51215,542.34955
648.9,427.02438,462.899
511.20000000000005,421.69852,436.8083
392.4,412.43793,391.48828
313.2,297.41675,299.04584
258.3,241.79068,313.13492
240.0,466.37485,261.9482
224.1,313.7276,440.4839
208.8,332.12573,231.55742
213.11999999999998,284.45065,226.18668
216.0,307.7488,249.38083
210.6,292.25546,255.97916
211.5,284.4715,204.0892
218.7,342.915,204.00656
220.79999999999998,320.12524,208.17056
238.79999999999998,304.00357,257.4413
315.0,381.41278,347.97968
419.4,405.3236,450.68842
527.4,452.30844,482.116
502.2,462.3355,504.08746
516.6,491.3182,504.39685
513.9000000000001,411.5209,506.74585
522.0,481.11493,556.6577
514.8,438.41882,520.8753
488.7,439.9479,520.05994
386.1,396.95163,428.44073
322.8,405.9508,392.71906
284.4,347.7141,339.8105
252.89999999999998,328.5151,254.63101
225.0,301.8117,253.25867
219.6,398.03757,223.05486
202.5,306.04053,390.20227
196.2,324.2293,201.47023
193.5,327.4383,244.40598
189.9,327.54767,272.2453
189.9,322.92752,290.14087
194.4,322.16342,290.85184
189.9,324.37988,237.56236
186.3,328.31256,258.5693
198.0,316.23422,279.89978
199.44,350.1781,345.77847
