Actual,ANN,LSTM
192.0,413.17303,226.29646
184.0,216.58734,241.21101
188.0,228.52382,271.30472
184.0,235.85667,234.1928
184.0,70.3139,250.54305
204.0,229.24458,214.37589
229.33333333333334,216.62141,306.14362
332.0,419.50754,315.8026
420.0,391.92493,350.0782
456.0,348.1842,373.15768
494.0,360.22354,385.639
482.66666666666674,564.0625,388.54013
502.0,359.0564,322.28464
506.0,563.64886,376.3644
500.0,438.10544,430.70593
508.0,544.76746,412.86005
488.0,370.00458,357.7765
434.0,470.9856,347.1493
323.2,337.47916,290.73132
256.0,159.96945,241.08757
218.66666666666666,284.54755,337.66522
200.0,167.00217,315.8169
184.0,198.1243,294.35
176.0,154.24615,218.9043
180.8,318.12955,156.65576
168.0,208.45178,167.67703
172.0,220.50131,219.49759
168.0,203.11652,159.73424
164.0,138.97055,171.87251
180.0,214.87836,159.04222
208.0,239.9621,255.03928
329.6,348.16318,324.5087
420.0,413.95078,410.33005
464.0,403.92792,426.7772
464.0,385.9552,464.22006
502.0,491.74152,473.35544
500.0,393.7888,379.2113
504.0,503.50272,438.0697
522.6666666666666,443.5798,502.35187
526.0,469.85944,516.2327
528.0,424.6071,448.387
485.3333333333333,442.33392,394.8769
384.0,368.8214,329.11978
272.0,248.14438,252.75717
234.66666666666666,263.7963,304.70456
212.0,244.41167,273.14655
194.66666666666666,202.76485,255.05841
184.0,182.42305,163.84328
178.66666666666666,264.45255,171.0208
173.33333333333334,247.1725,163.6025
176.0,224.88713,184.60417
164.0,262.2586,152.50499
160.0,246.3086,152.90349
170.66666666666666,209.46375,160.76392
202.66666666666666,307.3667,223.74281
280.0,265.4394,286.7148
360.0,361.72443,366.23553
410.0,384.54877,412.37836
424.0,385.63058,435.03787
442.0,370.67877,451.62094
440.0,369.41846,418.19977
438.0,384.70566,445.29114
420.0,361.86746,449.64127
450.6666666666667,389.94025,468.5342
442.0,367.48276,448.99515
406.0,371.62186,405.71786
300.0,354.1039,298.23157
252.0,270.82162,247.17102
221.33333333333334,258.73737,250.67673
200.0,245.64294,230.67036
188.0,253.03972,207.74426
180.0,202.22844,171.39653
176.0,234.34941,283.01553
181.33333333333334,283.30728,283.13562
176.0,257.9217,256.72244
168.0,268.10742,265.55032
168.0,275.7688,253.6723
172.0,236.3345,282.95248
176.0,280.89972,288.5643
165.33333333333331,229.68463,312.83704
146.66666666666663,300.73254,321.44595
147.33333333333331,353.51926,300.2306
148.0,336.1595,332.0181
144.0,293.2503,324.99753
160.0,343.0032,343.72607
144.0,295.18103,333.07333
168.0,260.15863,296.47446
170.00000000000003,341.03693,321.48145
184.0,319.0385,349.38773
186.66666666666666,316.34784,310.8399
184.0,295.11102,290.40552
180.0,271.11417,268.80975
178.66666666666666,251.88417,263.67313
176.0,237.85062,278.03052
176.0,254.07321,269.31528
173.33333333333334,214.67212,296.09747
174.0,243.08739,147.50458
173.33333333333334,221.26593,145.30235
168.0,207.41728,149.45445
168.0,235.63353,139.10712
168.0,220.22697,138.63771
176.0,210.54561,144.88567
210.66666666666666,269.71414,199.09058
354.0,270.11786,294.8741
440.0,354.3487,379.3214
488.0,375.9301,434.3107
493.3333333333333,373.0307,452.18237
482.0,376.7812,466.3522
506.6666666666667,366.06335,431.94998
504.0,386.87976,462.39722
480.0,353.5036,470.7736
492.0,384.2075,483.9495
472.0,359.36636,459.95612
421.3333333333333,362.88104,416.78503
324.8,337.40967,301.78644
264.0,258.25415,241.80531
240.0,251.20529,234.18912
221.33333333333334,242.52698,213.04556
204.0,228.74512,190.64113
186.0,202.97157,155.18916
186.0,224.80902,173.58955
188.0,195.97392,178.26848
180.0,194.94554,173.39682
176.0,208.19781,166.20708
180.0,195.62009,171.57236
184.0,213.05284,171.87311
228.0,262.65262,223.69109
352.0,309.80267,337.85687
418.0,393.92813,415.98782
445.3333333333333,419.9747,447.24466
481.6,414.94516,483.70612
494.0,424.7955,499.9716
484.0,415.81775,473.37125
497.6,445.694,499.1563
493.3333333333333,433.82593,494.99725
524.0,419.93146,523.5735
486.0,417.7392,488.79434
430.0,399.23035,431.59006
338.0,358.7253,336.14005
272.0,288.73914,270.43945
232.0,259.48398,231.19415
216.0,257.99442,212.3785
200.0,214.83423,197.38222
189.33333333333334,226.585,181.07507
184.0,214.38406,183.21695
184.0,208.7642,183.7257
176.0,195.97913,176.7012
180.0,222.38435,178.1314
184.0,209.75352,182.43428
194.0,213.11517,191.39494
232.0,249.25545,231.86346
328.0,330.14932,328.7296
393.6,381.89572,395.62503
445.3333333333333,409.4911,443.2795
437.3333333333333,394.73264,450.42914
477.33333333333326,422.19952,480.03275
468.0,417.34085,467.63275
496.0,448.76425,493.30573
484.0,438.06262,482.69263
501.3333333333333,431.84567,503.90942
480.0,418.3349,480.77924
412.8,386.19928,414.38943
298.6666666666667,335.0905,307.9287
260.0,269.65692,259.25592
224.0,247.46426,223.3525
192.0,225.0211,196.41795
196.0,223.06708,196.92116
178.0,201.26666,179.33488
180.0,212.67155,170.1598
172.0,207.2875,163.04224
168.0,199.93219,161.09048
172.0,221.35771,162.51668
168.0,210.748,159.8166
181.33333333333334,213.73558,173.33286
238.0,248.86734,233.62306
354.0,334.42184,351.8783
405.3333333333333,379.37756,411.20663
440.0,407.57086,447.85684
478.0,404.8089,479.38376
452.0,416.9561,469.6049
498.6666666666667,423.09122,499.31815
474.0,442.38516,489.36844
444.8,425.77542,467.14142
480.0,429.67075,499.62735
472.0,415.24765,485.59485
412.0,381.7467,417.87637
294.0,322.8061,291.26602
240.0,260.47263,235.34845
208.0,237.52922,201.95857
200.0,226.83179,193.12134
180.0,219.74286,175.17566
168.0,199.49469,159.56203
171.2,189.98222,166.12839
168.0,189.33713,164.27304
168.0,187.7052,164.05438
168.0,200.8477,163.72002
162.66666666666666,188.32451,157.99939
173.33333333333334,192.64676,169.38045
205.33333333333334,227.6389,209.01917
296.0,313.30408,321.71204
400.0,391.4513,404.09525
422.0,411.64044,435.34076
450.0,414.32056,460.1398
472.0,434.8998,476.02515
472.0,447.16315,479.662
504.0,472.23492,499.80408
509.3333333333333,466.75665,498.25677
496.0,452.41498,501.31793
488.0,444.9028,492.0408
450.6666666666667,412.968,446.39856
372.0,358.2237,328.7417
284.0,281.34323,265.90622
258.0,261.3518,236.33049
221.33333333333334,235.02174,215.18527
208.0,220.71855,198.14954
200.0,200.571,184.84792
196.0,209.70033,198.69817
188.0,211.50107,189.96298
188.0,213.37376,187.95985
189.33333333333334,212.80095,187.59525
184.0,211.21626,183.47997
186.0,217.55191,191.80151
212.0,228.54446,219.19945
277.3333333333333,301.17432,301.51547
348.0,361.7451,361.5153
386.6666666666667,385.68155,391.23578
406.0,392.86652,412.73242
386.6666666666667,400.91006,415.912
426.6666666666667,415.7489,435.55307
418.0,423.33292,441.728
444.0,422.7941,441.4486
440.0,417.88498,445.61563
445.3333333333333,420.09634,450.9135
413.3333333333333,390.88754,413.0529
322.0,328.69452,323.32825
250.66666666666666,283.30515,259.69122
220.0,254.65526,226.72389
200.0,239.4854,214.2621
192.0,220.57605,202.3424
188.0,222.6606,197.48903
188.0,200.54977,264.4195
188.0,200.24393,286.64417
188.0,204.10188,231.24467
178.66666666666666,194.58513,256.1899
170.66666666666666,195.95624,228.7014
178.66666666666666,204.84584,272.14703
184.0,203.39241,280.53217
184.0,292.0277,305.5697
186.66666666666666,337.90717,320.99127
200.0,360.31323,272.58264
212.0,376.53098,328.4899
210.0,388.46387,301.0567
218.66666666666666,387.20792,345.8304
205.33333333333334,390.20114,320.72845
208.0,393.86804,272.84708
216.0,404.53192,308.61768
206.0,403.6756,353.74164
200.0,374.07736,298.21274
184.0,306.3804,264.57236
189.33333333333334,263.55453,236.43524
186.66666666666666,229.15422,238.57776
186.66666666666666,218.65376,259.4504
186.66666666666666,207.32823,244.5782
180.0,219.56073,299.00656
182.4,177.25635,150.5599
180.0,174.90114,148.32126
180.0,174.02515,154.73573
178.66666666666666,173.11923,152.4265
176.0,171.20769,145.46896
192.0,186.24739,152.55087
222.0,203.09386,191.3394
308.0,297.064,294.80142
394.0,351.35925,379.39627
426.6666666666667,378.99454,418.2584
486.4,401.9229,452.07013
525.3333333333334,422.72726,459.42032
510.0,411.4133,469.96094
518.0,418.216,480.03186
512.0,418.51413,492.1289
528.0,437.3144,497.0773
526.0,435.7766,492.5489
432.0,394.4976,433.8711
321.6,308.72702,318.5102
264.0,255.66212,246.73767
245.33333333333334,227.7947,222.13564
200.0,195.06375,182.27995
196.0,190.20518,173.81248
186.66666666666666,191.79712,156.93283
180.0,177.23412,164.95549
182.0,176.45772,167.71605
180.0,170.23236,164.57004
180.0,173.02881,165.79439
178.66666666666666,170.34921,166.8713
188.0,182.72987,170.2358
216.0,215.22652,207.55127
346.0,331.2425,343.87155
418.0,400.77148,423.08505
460.0,431.33572,466.3332
501.3333333333333,464.91953,498.42444
500.0,482.3254,505.1205
482.0,464.7786,496.12988
485.3333333333333,470.21722,505.59177
482.0,469.3734,500.2346
484.0,481.985,501.22446
496.0,487.4371,508.76794
444.0,439.47018,455.16995
331.2,329.62335,331.59326
260.0,260.7124,254.33401
232.0,232.86241,226.8774
212.0,204.83667,203.70459
204.0,198.19946,193.49493
192.0,188.402,177.17622
196.0,198.29175,189.27777
186.66666666666666,193.50018,182.43071
184.0,201.59183,180.37668
178.66666666666666,196.98727,174.35475
