Time,Actual,ANN,LSTM,RLS
2024-01-03 00:00:00,135.0,167.13173,156.40631,171.1189042696519
2024-01-03 01:00:00,132.0,166.82578,156.44655,177.77199383502693
2024-01-03 02:00:00,135.0,159.7544,150.39757,167.37694618198861
2024-01-03 03:00:00,138.0,154.8886,152.12692,161.7832210166217
2024-01-03 04:00:00,138.0,158.33522,152.10304,163.94635261048575
2024-01-03 05:00:00,141.0,157.0351,148.93512,160.27630058504337
2024-01-03 06:00:00,144.0,159.49352,154.22447,164.81033358093813
2024-01-03 07:00:00,144.0,178.32076,182.4263,185.772711907169
2024-01-03 08:00:00,207.00000000000003,262.37457,292.84567,278.13943979837063
2024-01-03 09:00:00,516.0,548.2484,619.4578,619.0028942442387
2024-01-03 10:00:00,751.2,771.30115,859.61414,849.2184885154286
2024-01-03 11:00:00,852.0,845.49677,933.9911,921.9996668137637
2024-01-03 12:00:00,906.0,857.5755,950.80597,933.265294551672
2024-01-03 13:00:00,891.0,856.62054,950.21387,933.9640121822108
2024-01-03 14:00:00,884.0,857.7804,948.77454,930.8906341878837
2024-01-03 15:00:00,876.0,843.737,934.396,914.9878239793213
2024-01-03 16:00:00,852.0,825.34656,912.3012,894.1386124446419
2024-01-03 17:00:00,765.0,763.87885,843.1621,831.3868769047453
2024-01-03 18:00:00,504.0,574.0402,598.05774,622.1473741132982
2024-01-03 19:00:00,244.8,339.96896,333.36765,341.31660717143785
2024-01-03 20:00:00,183.00000000000003,219.54749,226.96794,228.32101207137438
2024-01-03 21:00:00,161.99999999999997,186.40552,185.98306,193.56717998014213
2024-01-03 22:00:00,144.0,175.69612,168.26823,173.70572805577564
2024-01-03 23:00:00,141.0,165.31499,159.93457,169.32943625199698
2024-01-04 00:00:00,138.0,167.26161,161.65799,173.08479825532038
2024-01-04 01:00:00,138.0,166.92703,158.45131,176.52928031050175
2024-01-04 02:00:00,132.0,159.85027,152.46637,167.2624982409896
2024-01-04 03:00:00,126.0,154.92635,151.66264,161.92715428780343
2024-01-04 04:00:00,123.0,158.3903,152.09103,164.00461904736096
2024-01-04 05:00:00,120.0,157.13388,152.70218,162.65041496165782
2024-01-04 06:00:00,126.0,159.52303,155.82713,165.75059788298378
2024-01-04 07:00:00,150.0,178.22235,177.26706,186.17724132688429
2024-01-04 08:00:00,228.0,261.99313,281.82278,276.22343546222714
2024-01-04 09:00:00,494.4,547.41095,588.6963,601.6628559245854
2024-01-04 10:00:00,748.8,769.9876,807.82745,828.3350055077842
2024-01-04 11:00:00,852.0,844.12396,883.23584,896.4920958521047
2024-01-04 12:00:00,882.0,856.1399,894.9713,914.3222915788926
2024-01-04 13:00:00,892.0,855.13745,892.19934,906.1552285281502
2024-01-04 14:00:00,891.0,856.24634,897.6485,910.6256098233059
2024-01-04 15:00:00,876.0,842.336,882.71295,895.094282555538
2024-01-04 16:00:00,858.0,823.9661,864.5229,876.8836310137704
2024-01-04 17:00:00,770.4,762.66144,795.8147,809.8201876101259
2024-01-04 18:00:00,519.0,573.5531,581.48395,614.4847219970527
2024-01-04 19:00:00,249.6,339.81152,327.86923,338.8734580760163
2024-01-04 20:00:00,180.0,219.36487,224.58713,229.0050560650441
2024-01-04 21:00:00,156.0,186.34496,185.9006,193.4786463503891
2024-01-04 22:00:00,144.0,175.716,170.1142,176.4245838194005
2024-01-04 23:00:00,136.0,165.32704,160.31697,169.64714209340192
2024-01-05 00:00:00,134.0,165.75954,157.80255,170.78763205283227
2024-01-05 01:00:00,132.0,165.69589,157.05095,175.43659823621755
2024-01-05 02:00:00,129.0,158.76932,150.86937,166.26569931760287
2024-01-05 03:00:00,126.0,154.46191,152.04506,161.2939114949334
2024-01-05 04:00:00,125.0,157.70253,152.04141,163.29009367933696
2024-01-05 05:00:00,124.0,155.98636,150.11911,160.65018278862064
2024-01-05 06:00:00,132.0,159.129,154.50015,164.8295442292299
2024-01-05 07:00:00,150.0,179.15503,180.79482,186.8207947709595
2024-01-05 08:00:00,207.00000000000003,265.77737,289.54688,280.2777389688636
2024-01-05 09:00:00,501.6,555.9796,610.39264,619.2395979425189
2024-01-05 10:00:00,759.0,783.47235,844.368,852.2852298032311
2024-01-05 11:00:00,885.0,858.1699,919.0474,922.1850148655819
2024-01-05 12:00:00,894.0,870.89856,934.3506,938.4217427859453
2024-01-05 13:00:00,918.0,870.41565,933.0574,934.4318446441146
2024-01-05 14:00:00,918.0,871.9052,933.79755,935.3037882345286
2024-01-05 15:00:00,916.0,856.6813,919.21466,918.7683353473271
2024-01-05 16:00:00,891.0,838.176,898.1874,899.0092385996973
2024-01-05 17:00:00,825.0,775.11163,829.2012,832.5766185826733
2024-01-05 18:00:00,690.0,578.3352,593.1035,623.3051894368402
2024-01-05 19:00:00,448.8,341.06274,331.61908,341.11220865184833
2024-01-05 20:00:00,220.8,221.11455,226.18459,230.70104703837654
2024-01-05 21:00:00,161.99999999999997,186.91286,185.9654,193.3329437935324
2024-01-05 22:00:00,144.0,175.38603,168.8921,174.78886719808193
2024-01-05 23:00:00,132.0,165.07358,159.90819,169.27443762364283
2024-01-06 00:00:00,138.0,170.32358,169.39233,177.7226651918623
2024-01-06 01:00:00,138.0,169.35637,159.64633,179.79135361807917
2024-01-06 02:00:00,132.0,162.60188,155.23872,169.9359870602483
2024-01-06 03:00:00,126.0,155.58307,147.6598,163.56153116346636
2024-01-06 04:00:00,126.0,159.70853,150.61908,165.47615850033083
2024-01-06 05:00:00,132.0,159.73384,154.96739,164.95399843504654
2024-01-06 06:00:00,138.0,160.40768,157.20987,166.89317535014743
2024-01-06 07:00:00,144.0,175.97794,167.50081,184.75463682418348
2024-01-06 08:00:00,220.0,251.18257,257.1263,264.25428934209265
2024-01-06 09:00:00,477.6,523.867,515.4965,545.9575777363243
2024-01-06 10:00:00,702.0,733.227,689.6695,755.9111529884362
2024-01-06 11:00:00,726.0,805.1353,764.96783,815.9946183188213
2024-01-06 12:00:00,780.0,815.6916,770.91235,843.1244483460946
2024-01-06 13:00:00,780.0,813.86066,765.2755,822.0914062804461
2024-01-06 14:00:00,788.0,812.82477,777.32886,834.6627923353253
2024-01-06 15:00:00,798.0,802.50323,764.3426,823.1411267750975
2024-01-06 16:00:00,744.0,786.32263,751.1153,810.0481753876484
2024-01-06 17:00:00,700.0,728.10034,685.27203,738.8117425588705
2024-01-06 18:00:00,537.0,561.72144,529.48737,582.4436699564899
2024-01-06 19:00:00,290.4,336.56726,308.8604,329.07570660760837
2024-01-06 20:00:00,192.0,214.43797,215.77274,225.9079173876745
2024-01-06 21:00:00,156.0,184.7034,183.33122,190.618416974013
2024-01-06 22:00:00,145.99999999999997,176.52103,170.43513,176.48168163258399
2024-01-06 23:00:00,136.0,165.3389,160.21332,169.5630988740864
2024-01-07 00:00:00,138.0,148.31357,150.38025,157.53020236083714
2024-01-07 01:00:00,126.0,145.03427,145.27812,148.82730119210953
2024-01-07 02:00:00,126.0,141.85194,144.2187,148.73459189743969
2024-01-07 03:00:00,128.0,141.53542,143.60765,147.74143797158752
2024-01-07 04:00:00,126.0,141.4904,143.61696,146.91975001409637
2024-01-07 05:00:00,124.0,140.78581,139.5496,148.84344897455568
2024-01-07 06:00:00,126.0,139.52107,143.42943,150.85141620924063
